"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120008","1920","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    692.5","","     692.5","E","        27","E","        19","E","         7","E","         0","E","         2","E","         0","E","       187","E","         0","E","   -5.0","E,1219, ","  71.8"," ,E,0219, ","   29.7","E,0723, ","-5.0","E,1219","-5.0","E,1219","-5.0","E,1219","","","","","","","","","","","","","    462.8"," ,E","     17.20","E","     20.86","E","     13.54","E"
"SPE00120008","1921","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    714.2","","     714.2","E","        52","E","        43","E","         6","E","         0","E","         0","E","         0","E","       174","E","         3","E","    0.7","E,0211, ","  99.0"," ,E,0810, ","   36.5","E,0808, ","","","","","","","","","","","","","","","    1274.5","5","    1274.5","E","    639.3"," ,E","     16.87","E","     20.87","E","     12.88","E"
"SPE00120008","1922","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    637.5","","     637.5","E","        37","E","        26","E","         3","E","         0","E","         0","E","         0","E","       191","E","         0","E","    0.4","E,1129, "," 111.3"," ,E,1015, ","   31.8","E,0830, ","","","","","","","","","","","","","","","     987.3","3","     987.3","E","    478.3"," ,E","     17.09","E","     21.19","E","     12.99","E"
"SPE00120008","1923","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    613.8","","     613.8","E","        38","E","        25","E","         1","E","         0","E","         0","E","         0","E","       157","E","         7","E","    0.4","E,1221, ","  42.5"," ,E,1101, ","   36.2","E,0809, ","","","","","","","","","","","","","","","    1216.8","8","    1216.8","E","    251.5"," ,E","     16.88","E","     20.89","E","     12.87","E"
"SPE00120008","1924","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    702.1","","     702.1","E","        46","E","        31","E","         3","E","         0","E","         0","E","         0","E","       203","E","         1","E","    1.4","E,0301, ","  86.0"," ,E,1017, ","   32.8","E,0729, ","","","","","","","","","","","","","","","    1133.0","0","    1133.0","E","    394.5"," ,E","     17.19","E","     21.01","E","     13.38","E"
"SPE00120008","1925","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    584.0","","     584.0","E","        47","E","        22","E","         2","E","         0","E","         1","E","         0","E","       172","E","         2","E","   -0.4","E,1218, ","  32.0"," ,E,1120, ","   33.2","E,0528, ","-0.4","E,1218","","","","","","","","","","","","","    1188.5","5","    1188.5","E","    251.3"," ,E","     16.38","E","     20.52","E","     12.23","E"
"SPE00120008","1926","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1139.5","5","    1139.5","E","","","","","","","",""
"SPE00120008","1928","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    769.1","","     769.1","E","        45","E","        26","E","         8","E","         0","E","         0","E","         0","E","       189","E","         6","E","    1.6","E,0210, ","  88.0"," ,E,0226, ","   38.0","E,0728, ","","","","","","","","","","","","","","","    1038.6","6","    1038.6","E","    527.0"," ,E","     17.59","E","     21.97","E","     13.20","E"
"SPE00120008","1929","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    656.4","","     656.4","E","        53","E","        34","E","         5","E","         0","E","         0","E","         0","E","       180","E","         1","E","    0.4","E,0105,+","  85.0"," ,E,0203, ","   34.0","E,0630, ","","","","","","","","","","","","","","","    1178.7","7","    1178.7","E","    565.9"," ,E","     16.90","E","     21.11","E","     12.68","E"
"SPE00120008","1930","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    741.2","","     741.2","E","        42","E","        27","E","         4","E","         0","E","         1","E","         0","E","       205","E","         6","E","   -0.3","E,0218, ","  52.0"," ,E,0208, ","   37.0","E,0717, ","","","","","","","-0.3","E,0218","","","","","","","    1076.5","5","    1076.5","E","    342.4"," ,E","     17.54","E","     21.70","E","     13.39","E"
"SPE00120008","1931","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    696.6","","     696.6","E","        46","E","        29","E","         0","E","         0","E","         1","E","         0","E","       186","E","        10","E","   -1.0","E,1220, ","  23.0"," ,E,0312, ","   37.2","E,0815, ","-1.0","E,1220","","","","","","","","","","","","","     894.1","1","     894.1","E","    242.8"," ,E","     17.29","E","     21.39","E","     13.21","E"
"SPE00120008","1932","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    555.0","","     555.0","E","        72","E","        52","E","        10","E","         0","E","         1","E","         0","E","       169","E","         2","E","   -0.2","E,0216, "," 176.0"," ,E,0913, ","   32.4","E,0818,+","","","","","","","-0.2","E,0216","","","","","","","    1303.8","8","    1303.8","E","    880.1"," ,E","     16.48","E","     20.37","E","     12.59","E"
"SPE00120008","1933","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    751.9","","     751.9","E","        60","E","        44","E","         8","E","         0","E","         4","E","         0","E","       178","E","         2","E","   -0.4","E,0126, ","  70.0"," ,E,1203, ","   36.6","E,0807, ","0.0","E,1217","","","","","-0.4","E,0126","","","","","","","    1073.9","9","    1073.9","E","    596.0"," ,E","     17.02","E","     21.07","E","     12.97","E"
"SPE00120008","1934","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    789.7","","     789.7","E","        44","E","        20","E","         2","E","         0","E","         0","E","         0","E","       187","E","         4","E","    1.0","E,0228, "," 201.0"," ,E,1102, ","   35.2","E,0722, ","","","","","","","","","","","","","","","    1274.6","6","    1274.6","E","    397.5"," ,E","     17.30","E","     21.59","E","     13.02","E"
"SPE00120008","1935","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    725.5","","     725.5","E","        39","E","        28","E","         6","E","         0","E","         6","E","         0","E","       186","E","         3","E","   -3.2","E,0131,+","  47.0"," ,E,0119, ","   34.4","E,0730, ","","","","","","","-0.2","E,0211","-2.2","E,0209","","","","","    1160.1","1","    1160.1","E","    349.4"," ,E","     17.28","E","     21.65","E","     12.91","E"
"SPE00120008","1936","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    561.4","","     561.4","E","        71","E","        54","E","         9","E","         0","E","         0","E","         0","E","       171","E","         0","E","    1.2","E,1209, ","  61.0"," ,E,0517, ","   32.0","E,0704, ","","","","","","","","","","","","","","","     893.4","4","     893.4","E","    750.3"," ,E","     17.05","E","     21.29","E","     12.81","E"
"SPE00120008","1937","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    737.4","","     737.4","E","        38","E","        19","E","         2","E","         0","E","         0","E","         0","E","       199","E","         1","E","    1.0","E,1230,+","  52.5"," ,E,0429, ","   32.4","E,0809, ","","","","","","","","","","","","","","","     947.0","0","     947.0","E","    267.0"," ,E","     18.04","E","     22.34","E","     13.73","E"
"SPE00120008","1938","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","","","","","        48","E","        29","E","         3","E","","","","","","","","","","","","","  67.9"," ,E,0925, ","","","","","","","","","","","","","","","","","","","","","    392.3"," ,E","","","","","",""
"SPE00120008","1939","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    461.5","","     461.5","E","        61","E","        28","E","         1","E","         0","E","        11","E","         0","E","       202","E","         1","E","   -2.1","E,0314,+","  34.4"," ,E,0921, ","   32.8","E,0715, ","","","","","","","-0.3","E,0327","","","","","","","","","","","    271.3"," ,E","     16.00","E","     22.19","E","      9.80","E"
"SPE00120008","1940","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    503.6","","     503.6","E","        52","E","        24","E","         1","E","         0","E","        11","E","         0","E","       200","E","         1","E","   -2.0","E,1226,+","  47.5"," ,E,0112, ","   33.2","E,0715, ","-1.1","E,1225","","","","","-1.3","E,0125","","","","","","","    1103.7","7","    1103.7","E","    269.6"," ,E","     16.71","E","     21.31","E","     12.12","E"
"SPE00120008","1941","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    575.7","","     575.7","E","        54","E","        32","E","         2","E","         0","E","         1","E","         0","E","       169","E","         0","E","   -1.4","E,0105, "," 113.1"," ,E,0908, ","   31.6","E,0709, ","","","","","","","-1.4","E,0105","","","","","","","    1204.2","2","    1204.2","E","    419.8"," ,E","     16.57","E","     20.76","E","     12.37","E"
"SPE00120008","1942","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    754.3","","     754.3","E","        49","E","        27","E","         4","E","         0","E","         3","E","         0","E","       194","E","         0","E","   -2.0","E,0113, "," 135.2"," ,E,1114, ","   31.7","E,0614, ","","","","","","","-1.0","E,0217","","","","","","","    1163.3","3","    1163.3","E","    493.4"," ,E","     17.38","E","     21.18","E","     13.59","E"
"SPE00120008","1943","39.9892","0.0406","25.0","CASTELLON DE LA PLANA, SP","    815.4","","     815.4","E","        50","E","        29","E","         7","E","         0","E","         1","E","         0","E","       193","E","         3","E","    0.0","E,1213, "," 111.6"," ,E,0916, ","   33.5","E,0803, ","0.0","E,1213","","","","","","","","","","","","","     963.0","0","     963.0","E","    505.7"," ,E","     17.73","E","     21.80","E","     13.66","E"
