"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120026","1935","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    573.4","","     573.4","E","","","","","","","         0","E","         0","E","         0","E","       160","E","         5","E","    3.0","E,0209, ","","","   38.2","E,0731, ","","","","","","","","","","","     17.86","E","     20.68","E","     15.04","E"
"SPE00120026","1936","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     665.7","7","     665.7"," ","","","","","","","",""
"SPE00120026","1940","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","     65.2","","      65.2","E","        64","E","        48","E","         1","E","         0","E","         5","E","         0","E","       131","E","         3","E","    0.0","E,1229,+","  67.6"," ,E,1017, ","   35.0","E,0823, ","0.0","E,1208","","","","","","","    542.6"," ,E","     13.68","E","     19.80","E","      7.57","E"
"SPE00120026","1941","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    377.5","","     377.5","E","        72","E","        43","E","         0","E","         0","E","         8","E","         0","E","       129","E","         1","E","   -0.4","E,0105, ","  22.7"," ,E,0114, ","   36.0","E,0720, ","","","0.0","E,0308","    2002.9","9","    2002.9","E","    417.2"," ,E","     14.93","E","     19.41","E","     10.45","E"
"SPE00120026","1942","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    461.9","","     461.9","E","        82","E","        62","E","        13","E","         0","E","         0","E","         0","E","       142","E","         0","E","    3.0","E,1231,+"," 137.5"," ,E,1111, ","   31.0","E,0817,+","","","","","    1067.3","3","    1067.3","E","   1199.6"," ,E","     16.80","E","     19.93","E","     13.67","E"
"SPE00120026","1943","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    516.6","","     516.6","E","        53","E","        40","E","         4","E","         0","E","         0","E","         0","E","       156","E","         3","E","    5.8","E,1119,+","  50.0"," ,E,0414, ","   33.5","E,0616, ","","","","","     838.9","9","     838.9","E","    513.2"," ,E","     17.22","E","     20.18","E","     14.26","E"
"SPE00120026","1944","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    400.7","","     400.7","E","        59","E","        34","E","         4","E","         0","E","         0","E","         0","E","       140","E","         1","E","    2.6","E,0225, ","  71.7"," ,E,1224, ","   33.2","E,0727, ","","","","","     961.6","6","     961.6","E","    447.8"," ,E","     16.74","E","     19.56","E","     13.92","E"
"SPE00120026","1945","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    517.7","","     517.7","E","        51","E","        30","E","         3","E","         0","E","         0","E","         0","E","       190","E","         3","E","    2.8","E,0113, ","  59.0"," ,E,1210, ","   35.0","E,0907, ","","","","","     921.4","4","     921.4","E","    389.1"," ,E","     17.75","E","     20.80","E","     14.70","E"
"SPE00120026","1946","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    442.4","","     442.4","E","        78","E","        51","E","         5","E","         0","E","         0","E","         0","E","       134","E","         6","E","    1.2","E,1218, ","  35.8"," ,E,0420, ","   37.2","E,0713, ","","","","","     834.4","4","     834.4","E","    579.8"," ,E","     16.74","E","     19.43","E","     14.06","E"
"SPE00120026","1947","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    537.1","","     537.1","E","        74","E","        52","E","         2","E","         0","E","         0","E","         0","E","       158","E","         1","E","    4.0","E,0125, ","  33.2"," ,E,0330, ","   33.0","E,0804, ","","","","","     914.4","4","     914.4","E","    528.0"," ,E","     17.53","E","     20.08","E","     14.99","E"
"SPE00120026","1948","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    474.2","","     474.2","E","        62","E","        38","E","         5","E","         0","E","         0","E","         0","E","       138","E","         3","E","    7.0","E,0124, ","  74.4"," ,E,1221, ","   35.0","E,0629, ","","","","","     796.9","9","     796.9","E","    517.1"," ,E","     17.35","E","     19.64","E","     15.07","E"
"SPE00120026","1949","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    506.4","","     506.4","E","        60","E","        38","E","         7","E","         0","E","         0","E","         0","E","       160","E","         6","E","    4.0","E,1229,+","  60.0"," ,E,0415, ","   38.5","E,0819, ","","","","","     930.0","0","     930.0","E","    531.5"," ,E","     17.09","E","     20.19","E","     13.99","E"
"SPE00120026","1950","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    626.7","","     626.7","E","        45","E","        28","E","         5","E","         0","E","         0","E","         0","E","       149","E","         3","E","    4.0","E,1207, "," 103.0"," ,E,1227, ","   34.0","E,0729,+","","","","","     933.6","6","     933.6","E","    476.6"," ,E","     17.54","E","     20.94","E","     14.15","E"
"SPE00120026","1951","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    435.1","","     435.1","E","        69","E","        50","E","         7","E","         0","E","         0","E","         0","E","       135","E","         0","E","    5.0","E,0125, ","  47.0"," ,E,0908, ","   32.0","E,0724, ","","","","","     946.0","0","     946.0","E","    734.5"," ,E","     16.93","E","     19.52","E","     14.34","E"
