"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00155973","2008","41.9606","2.6308","150.0","ANGLES, SP","    414.2","","     414.2","E","        87","E","        57","E","         9","E","         0","E","        40","E","         0","E","       173","E","        30","E","   -5.8","E,0306, ","  68.6"," ,E,1226, ","   38.2","E,0806, ","-0.3","E,1115","-2.6","E,1125","-4.7","E,1126","","","","","-0.1","E,0323","-5.8","E,0306","-5.8","E,0306","","","","","","","","","    780.2"," ,E","     14.31","E","     21.05","E","      7.57","E"
"SPE00155973","2009","41.9606","2.6308","150.0","ANGLES, SP","    577.6","","     577.6","E","        80","E","        52","E","         6","E","         0","E","        41","E","         0","E","       191","E","        37","E","   -9.7","E,1220, ","  46.3"," ,E,0426, ","   38.6","E,0819, ","-1.8","E,1110","-3.0","E,1213","-7.5","E,1219","-7.5","E,1219","-9.7","E,1220","-0.9","E,0325","-3.0","E,0307","-4.6","E,0108","","","","","    1894.3","3","    1894.3","E","    604.8"," ,E","     15.19","E","     22.12","E","      8.25","E"
"SPE00155973","2010","41.9606","2.6308","150.0","ANGLES, SP","    488.1","","     488.1","E","        91","E","        52","E","         6","E","         0","E","        59","E","         0","E","       169","E","        31","E","   -6.9","E,0212, ","  45.2"," ,E,0308, ","   39.6","E,0826, ","-0.8","E,1026","-3.2","E,1126","-5.7","E,1215","","","","","-1.9","E,0318","-4.6","E,0311","-4.6","E,0311","-6.9","E,0212","","","    1836.6","6","    1836.6","E","    771.2"," ,E","     14.11","E","     20.53","E","      7.70","E"
"SPE00155973","2011","41.9606","2.6308","150.0","ANGLES, SP","    487.6","","     487.6","E","        82","E","        49","E","        11","E","         0","E","        34","E","         0","E","       198","E","        18","E","   -7.4","E,0123, "," 112.8"," ,E,0312, ","   36.7","E,0821, ","-1.0","E,1218","","","","","","","","","-0.7","E,0301","-3.5","E,0209","-5.1","E,0126","-7.4","E,0123","","","    1803.8","8","    1803.8","E","   1058.9"," ,E","     15.36","E","     22.04","E","      8.67","E"
"SPE00155973","2012","41.9606","2.6308","150.0","ANGLES, SP","    547.9","","     547.9","E","        70","E","        45","E","         4","E","         0","E","        61","E","         0","E","       186","E","        40","E","   -9.5","E,0211, ","  59.6"," ,E,0929, ","   40.2","E,0822, ","-1.3","E,1028","-2.3","E,1029","-4.9","E,1209","","","","","-0.4","E,0417","-4.8","E,0221","-4.8","E,0221","-7.9","E,0213","-9.1","E,0212","    1732.0","0","    1732.0","E","    631.4"," ,E","     14.75","E","     21.98","E","      7.51","E"
"SPE00155973","2013","41.9606","2.6308","150.0","ANGLES, SP","    464.0","","     464.0","E","        95","E","        59","E","         7","E","         0","E","        69","E","         0","E","       185","E","        32","E","   -6.9","E,0224, ","  95.7"," ,E,0305, ","   36.7","E,0725, ","-1.0","E,1115","-2.4","E,1123","-4.7","E,1129","","","","","-1.3","E,0316","-4.2","E,0315","-4.5","E,0226","-6.9","E,0224","","","    1891.8","8","    1891.8","E","    918.7"," ,E","     14.40","E","     21.41","E","      7.39","E"
"SPE00155973","2014","41.9606","2.6308","150.0","ANGLES, SP","    437.9","","     437.9","E","       102","E","        59","E","        10","E","         0","E","        29","E","         0","E","       202","E","        13","E","   -3.7","E,1229, ","  86.9"," ,E,0928, ","   35.4","E,0613, ","-2.4","E,1209","-2.4","E,1209","","","","","","","-1.9","E,0324","-2.3","E,0302","","","","","","","    1633.8","8","    1633.8","E","    908.9"," ,E","     15.28","E","     22.03","E","      8.52","E"
"SPE00155973","2015","41.9606","2.6308","150.0","ANGLES, SP","    562.6","","     562.6","E","        64","E","        43","E","         5","E","         0","E","        53","E","         0","E","       200","E","        46","E","   -6.6","E,0206, ","  73.7"," ,E,0808, ","   42.9","E,0705, ","-1.6","E,1122","-4.5","E,1123","-4.5","E,1123","","","","","-0.2","E,0410","-2.7","E,0228","-6.6","E,0206","","","","","    1608.1","1","    1608.1","E","    616.9"," ,E","     15.28","E","     22.64","E","      7.91","E"
"SPE00155973","2016","41.9606","2.6308","150.0","ANGLES, SP","    518.9","","     518.9","E","        81","E","        48","E","         6","E","         0","E","        34","E","         0","E","       187","E","        42","E","   -5.8","E,0117, ","  73.4"," ,E,0809, ","   39.3","E,0804, ","-0.1","E,1108","","","","","","","","","-0.6","E,0324","-2.4","E,0217","-4.6","E,0204","","","","","    1668.7","7","    1668.7","E","    653.1"," ,E","     15.15","E","     22.27","E","      8.03","E"
"SPE00155973","2017","41.9606","2.6308","150.0","ANGLES, SP","    564.7","","     564.7","E","        71","E","        43","E","         3","E","         0","E","        55","E","         0","E","       212","E","        50","E","   -7.9","E,0118, ","  34.0"," ,E,1019, ","   37.8","E,0818, ","-2.2","E,1107","-2.2","E,1107","-4.5","E,1202","","","","","-0.3","E,0420","-3.0","E,0209","-4.9","E,0119","-7.9","E,0118","","","    1611.6","6","    1611.6","E","    497.8"," ,E","     15.08","E","     22.59","E","      7.56","E"
