"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SW000002590","1860","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","       124","E","        59","E","         4","E","","","","","","","","","","","","","","","","","  79.7"," ,E,0814, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    629.7"," ,E","","","","","",""
"SW000002590","1861","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","       114","E","        55","E","         3","E","","","","","","","","","","","","","","","","","  38.3"," ,E,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    486.3"," ,E","","","","","",""
"SW000002590","1862","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","        98","E","        48","E","         0","E","","","","","","","","","","","","","","","","","  21.6"," ,E,0307, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    366.2"," ,E","","","","","",""
"SW000002590","1863","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","        77","E","        45","E","         1","E","","","","","","","","","","","","","","","","","  66.4"," ,E,0731, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    403.7"," ,E","","","","","",""
"SW000002590","1864","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","        71","E","        48","E","         4","E","","","","","","","","","","","","","","","","","  45.6"," ,E,1108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    500.6"," ,E","","","","","",""
"SW000002590","1865","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","        47","E","        20","E","         1","E","","","","","","","","","","","","","","","","","  92.2"," ,E,0730, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    228.6"," ,E","","","","","",""
"SW000002590","1866","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","        33","E","        23","E","         5","E","","","","","","","","","","","","","","","","","  63.3"," ,E,1109, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    413.1"," ,E","","","","","",""
"SW000002590","1867","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","        22","E","        19","E","         8","E","","","","","","","","","","","","","","","","","  64.4"," ,E,0731, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    428.7"," ,E","","","","","",""
"SW000002590","1868","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","        92","E","        38","E","         2","E","","","","","","","","","","","","","","","","","  37.6"," ,E,0915, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    414.6"," ,E","","","","","",""
"SW000002590","1869","57.66","18.34","42.0","VISBY FLYGPLATS, SW","","","","","       144","E","        54","E","         0","E","","","","","","","","","","","","","","","","","  18.6"," ,E,1028, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    415.9"," ,E","","","","","",""
