"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SWE00138024","2006","57.26","12.32","15.0","VEDDIGE D, SW","       163","E","       108","E","         4","E","       74","","   210"," ,E,0303, ","  44.0"," ,E,1028, ","   1149.6"," ,E"
"SWE00138024","2007","57.26","12.32","15.0","VEDDIGE D, SW","       169","E","       107","E","         3","E","        7","","   110"," ,E,0225, ","  32.2"," ,E,0622, ","   1117.5"," ,E"
"SWE00138024","2008","57.26","12.32","15.0","VEDDIGE D, SW","       182","E","       112","E","         5","E","       12","","   170"," ,E,0324, ","  41.3"," ,E,0804, ","   1154.0"," ,E"
"SWE00138024","2009","57.26","12.32","15.0","VEDDIGE D, SW","       159","E","        89","E","         3","E","       10","","   110"," ,E,1223, ","  33.5"," ,E,0611, ","    824.5"," ,E"
"SWE00138024","2010","57.26","12.32","15.0","VEDDIGE D, SW","       154","E","        80","E","         4","E","      116","","   600"," ,E,0221, ","  48.2"," ,E,0730, ","    909.0"," ,E"
"SWE00138024","2011","57.26","12.32","15.0","VEDDIGE D, SW","       164","E","       111","E","         8","E","       36","","   370"," ,E,0108,+","  53.2"," ,E,0814, ","   1120.4"," ,E"
"SWE00138024","2012","57.26","12.32","15.0","VEDDIGE D, SW","       190","E","       111","E","         6","E","       43","","   160"," ,E,1215, ","  49.8"," ,E,0921, ","   1168.4"," ,E"
"SWE00138024","2013","57.26","12.32","15.0","VEDDIGE D, SW","       147","E","        84","E","         0","E","       28","","    80"," ,E,0129,+","  25.0"," ,E,0810, ","    794.3"," ,E"
"SWE00138024","2014","57.26","12.32","15.0","VEDDIGE D, SW","       178","E","       111","E","         4","E","       18","","   170"," ,E,0201, ","  28.8"," ,E,0924,+","    995.1"," ,E"
"SWE00138024","2015","57.26","12.32","15.0","VEDDIGE D, SW","       166","E","       108","E","         3","E","       11","","   100"," ,E,0125, ","  45.0"," ,E,1127, ","   1064.6"," ,E"
"SWE00138024","2016","57.26","12.32","15.0","VEDDIGE D, SW","       160","E","        84","E","         1","E","       13","","   150"," ,E,0124,+","  28.8"," ,E,0405, ","    726.9"," ,E"
"SWE00138024","2017","57.26","12.32","15.0","VEDDIGE D, SW","       197","E","       112","E","         3","E","       12","","   100"," ,E,1212, ","  31.0"," ,E,0908, ","   1089.1"," ,E"
"SWE00138024","2018","57.26","12.32","15.0","VEDDIGE D, SW","       142","E","        73","E","         1","E","       24","","   170"," ,E,0308, ","  27.8"," ,E,0819, ","    699.3"," ,E"
"SWE00138024","2019","57.26","12.32","15.0","VEDDIGE D, SW","       177","E","       106","E","         3","E","       11","","   130"," ,E,0130, ","  32.4"," ,E,0927, ","   1012.4"," ,E"
"SWE00138024","2020","57.26","12.32","15.0","VEDDIGE D, SW","       175","E","       112","E","         0","E","        1","","    40"," ,E,0228, ","  23.8"," ,E,0925, ","    971.3"," ,E"
"SWE00138024","2021","57.26","12.32","15.0","VEDDIGE D, SW","       145","E","        92","E","         5","E","       23","","   160"," ,E,1204, ","  43.9"," ,E,0728, ","   1017.6"," ,E"
"SWE00138024","2022","57.26","12.32","15.0","VEDDIGE D, SW","       155","E","        88","E","         2","E","        4","","    80"," ,E,1122, ","  28.1"," ,E,0220, ","    772.5"," ,E"
"SWE00138024","2023","57.26","12.32","15.0","VEDDIGE D, SW","       180","E","       116","E","         4","E","       22","","   150"," ,E,0308, ","  58.3"," ,E,0808, ","   1235.6"," ,E"
"SWE00138024","2024","57.26","12.32","15.0","VEDDIGE D, SW","       180","E","       111","E","         4","E","       11","","   100"," ,E,0210,+","  48.0"," ,E,0809, ","   1053.6"," ,E"
