"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00139148","1836","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       130","E","        74","E","         1","E","","","","","","","","","","","","","","","","","  32.5"," ,E,0910, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    584.1"," ,E","","","","","",""
"SWE00139148","1837","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        95","E","        64","E","         1","E","","","","","","","","","","","","","","","","","  31.9"," ,E,0916, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    497.8"," ,E","","","","","",""
"SWE00139148","1838","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        92","E","        64","E","         4","E","","","","","","","","","","","","","","","","","  39.6"," ,E,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    644.7"," ,E","","","","","",""
"SWE00139148","1839","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        91","E","        57","E","         0","E","","","","","","","","","","","","","","","","","  24.1"," ,E,1005, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    507.9"," ,E","","","","","",""
"SWE00139148","1840","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       101","E","        64","E","         2","E","","","         6"," ","       175","E","","","","","","","  -22.3","E,0109, ","","","  26.0"," ,E,1111, ","","","-0.3","E,0919","-3.1","E,1016","-4.8","E,1114","-6.8","E,1120","-13.1","E,1121","-2.8","E,0523","-2.8","E,0523","-5.3","E,0420","-11.9","E,0328","-11.9","E,0328","","","","","    575.4"," ,E","","","","","      0.55","E"
"SWE00139148","1841","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       111","E","        70","E","         1","E","","","        13"," ","       167","E","","","","","","","  -26.4","E,0207, ","","","  28.2"," ,E,0131, ","","","-2.1","E,0920","-3.1","E,0926","-4.5","E,1004","-8.0","E,1029","-10.9","E,1112","-1.9","E,0504","-2.7","E,0424","-12.1","E,0325","-12.1","E,0325","-12.1","E,0325","","","","","    614.4"," ,E","","","","","      0.74","E"
"SWE00139148","1842","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        99","E","        47","E","         0","E","","","         3"," ","       172","E","","","","","","","  -23.0","E,1125, ","","","  22.5"," ,E,0615, ","","","-0.8","E,0907","-4.0","E,1004","-5.9","E,1006","-6.9","E,1106","-11.3","E,1122","-1.5","E,0512","-3.1","E,0501","-4.4","E,0429","-9.4","E,0416","-9.4","E,0416","","","","","    375.5"," ,E","","","","","      1.53","E"
"SWE00139148","1843","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       100","E","        49","E","         0","E","","","         3"," ","       207","E","","","","","","","  -20.3","E,0217, ","","","  21.4"," ,E,0722, ","","","0.0","E,0925","-2.9","E,0928","-5.7","E,1012","-6.7","E,1020","-12.6","E,1125","-2.0","E,0602","-2.9","E,0523","-4.7","E,0517","-10.0","E,0415","-10.0","E,0415","","","","","    437.3"," ,E","","","","","      0.32","E"
"SWE00139148","1844","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       124","E","        74","E","         2","E","","","        20"," ","       174","E","","","","","","","  -26.7","E,0222, ","","","  39.1"," ,E,0810, ","","","0.0","E,0930","-3.4","E,1010","-5.2","E,1104","-12.8","E,1114","-12.8","E,1114","-1.5","E,0603","-2.9","E,0430","-5.1","E,0402","-8.7","E,0328","-10.9","E,0325","","","","","    650.0"," ,E","","","","","     -0.58","E"
"SWE00139148","1845","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       110","E","        62","E","         0","E","","","        12"," ","       179","E","","","","","","","  -27.5","E,0314, ","","","  23.0"," ,E,0831, ","","","0.0","E,1007","-3.0","E,1014","-5.7","E,1103","-6.8","E,1125","-10.6","E,1211","-3.6","E,0528","-3.6","E,0528","-5.2","E,0501","-7.0","E,0414","-12.0","E,0331","","","","","    419.8"," ,E","","","","","      0.14","E"
"SWE00139148","1846","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        97","E","        60","E","         0","E","","","         6"," ","       159","E","","","","","","","  -21.6","E,0219, ","","","  23.8"," ,E,0716, ","","","-2.8","E,0924","-2.8","E,0924","-7.2","E,1116","-7.2","E,1116","-14.0","E,1130","-2.1","E,0514","-4.3","E,0507","-6.5","E,0506","-7.7","E,0321","-21.6","E,0219","","","","","    469.5"," ,E","","","","","      1.52","E"
"SWE00139148","1847","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        88","E","        55","E","         1","E","","","         5"," ","       175","E","","","","","","","  -22.0","E,0214, ","","","  30.3"," ,E,0927, ","","","0.0","E,0930","-2.7","E,1004","-6.0","E,1007","-7.5","E,1219","-10.1","E,1223","0.0","E,0524","-3.0","E,0519","-5.0","E,0427","-14.5","E,0411","-14.5","E,0411","","","","","    480.6"," ,E","","","","","      0.82","E"
"SWE00139148","1848","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       122","E","        75","E","         2","E","","","         3"," ","       176","E","","","","","","","  -18.1","E,1117, ","","","  27.0"," ,E,0717, ","","","-0.8","E,0916","-2.2","E,1014","-5.5","E,1019","-7.1","E,1020","-11.0","E,1107","-2.8","E,0505","-2.8","E,0505","-5.0","E,0311","-7.2","E,0310","-10.0","E,0225","","","","","    658.3"," ,E","","","","","      0.76","E"
"SWE00139148","1849","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        97","E","        52","E","         2","E","","","         4"," ","       195","E","","","","","","","  -21.0","E,0110, ","","","  31.3"," ,E,1001, ","","","0.0","E,0927","-2.7","E,1007","-4.6","E,1011","-6.7","E,1012","-9.1","E,1118","-1.0","E,0523","-2.7","E,0515","-4.8","E,0513","-6.7","E,0416","-12.3","E,0316","","","","","    462.0"," ,E","","","","","      0.11","E"
"SWE00139148","1850","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        78","E","        51","E","         2","E","","","        11"," ","       181","E","","","","","","","  -27.0","E,0121, ","","","  44.2"," ,E,0131, ","","","-0.5","E,0908","-3.3","E,1012","-6.3","E,1110","-8.4","E,1112","-13.2","E,1116","0.0","E,0514","-3.8","E,0503","-4.7","E,0426","-7.0","E,0404","-10.0","E,0402","","","","","    571.4"," ,E","","","","","      0.01","E"
"SWE00139148","1851","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       109","E","        61","E","         4","E","","","         1"," ","       160","E","","","","","","","  -17.8","E,0202, ","","","  35.7"," ,E,1130, ","","","-2.0","E,1021","-3.0","E,1025","-7.2","E,1030","-7.2","E,1030","-12.0","E,1031","0.0","E,0525","-2.2","E,0514","-5.0","E,0409","-6.7","E,0324","-16.4","E,0308","","","","","    681.6"," ,E","","","","","      1.14","E"
"SWE00139148","1852","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        71","E","        47","E","         1","E","","","         4"," ","       197","E","","","","","","","  -21.3","E,0212, ","","","  25.4"," ,E,1006, ","","","0.0","E,0923","-2.3","E,1004","-5.0","E,1005","-9.0","E,1018","-9.0","E,1018","0.0","E,0528","-5.1","E,0503","-5.1","E,0503","-7.0","E,0418","-12.0","E,0329","","","","","    553.0"," ,E","","","","","      0.22","E"
"SWE00139148","1853","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        83","E","        41","E","         1","E","","","         9"," ","       173","E","","","","","","","  -22.5","E,0316, ","","","  52.9"," ,E,0819, ","","","0.0","E,0928","-4.0","E,1020","-7.0","E,1126","-7.0","E,1126","-9.2","E,1127","0.0","E,0520","-2.8","E,0514","-7.0","E,0418","-7.0","E,0418","-11.0","E,0414","","","","","    443.2"," ,E","","","","","      0.36","E"
"SWE00139148","1854","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       108","E","        57","E","         0","E","","","         5"," ","       185","E","","","","","","","  -26.4","E,0109, ","","","  24.0"," ,E,1026, ","","","-2.6","E,0923","-2.6","E,0923","-4.7","E,1008","-8.5","E,1110","-11.3","E,1111","-0.2","E,0613","-3.7","E,0604","-8.5","E,0424","-8.5","E,0424","-9.2","E,0327","","","","","    404.6"," ,E","","","","","      0.06","E"
"SWE00139148","1855","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        92","E","        54","E","         5","E","","","        30"," ","       186","E","","","","","","","  -28.3","E,0214, ","","","  32.8"," ,E,0802, ","","","0.0","E,0907","-3.3","E,1014","-5.1","E,1021","-6.8","E,1105","-13.3","E,1125","-1.4","E,0602","-3.2","E,0601","-5.2","E,0531","-7.0","E,0501","-9.0","E,0402","","","","","    551.3"," ,E","","","","","     -1.22","E"
"SWE00139148","1856","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        90","E","        57","E","         2","E","","","        15"," ","       201","E","","","","","","","  -26.9","E,0112, ","","","  31.9"," ,E,0527, ","","","-0.1","E,0812","-2.2","E,0904","-4.9","E,1007","-7.2","E,1104","-10.0","E,1111","-2.3","E,0524","-2.3","E,0524","-5.7","E,0510","-15.3","E,0329","-15.3","E,0329","","","","","    549.7"," ,E","","","","","     -1.52","E"
"SWE00139148","1857","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        87","E","        54","E","         2","E","","","         2"," ","       174","E","","","","","","","  -20.8","E,0102, ","","","  57.2"," ,E,0709, ","","","-0.3","E,0923","-2.5","E,1017","-6.0","E,1117","-6.9","E,1118","-16.0","E,1126","-0.9","E,0601","-4.9","E,0527","-4.9","E,0527","-9.0","E,0423","-9.0","E,0423","","","","","    509.3"," ,E","","","","","      1.04","E"
"SWE00139148","1858","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        80","E","        51","E","         1","E","","","         9"," ","       176","E","","","","","","","  -22.2","E,0204, ","","","  27.7"," ,E,0713, ","","","-3.3","E,0930","-3.3","E,0930","-5.2","E,1020","-7.3","E,1021","-10.9","E,1101","0.0","E,0630","-4.1","E,0425","-5.8","E,0422","-9.4","E,0413","-9.4","E,0413","","","","","    446.0"," ,E","","","","","      0.25","E"
"SWE00139148","1859","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        83","E","        57","E","         0","E","","","         6"," ","       176","E","","","","","","","  -28.0","E,1219, ","","","  25.3"," ,E,0701, ","","","-0.6","E,0918","-2.9","E,1018","-6.6","E,1020","-12.0","E,1021","-12.0","E,1021","-1.5","E,0605","-2.2","E,0523","-7.3","E,0513","-7.3","E,0513","-10.2","E,0406","","","","","    493.9"," ,E","","","","","      0.71","E"
"SWE00139148","1860","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        76","E","        68","E","         0","E","","","        15"," ","       185","E","","","","","","","  -29.7","E,0222, ","","","  25.3"," ,E,1004, ","","","-2.3","E,0911","-2.3","E,0911","-6.0","E,1013","-8.0","E,1014","-13.7","E,1127","-0.8","E,0518","-5.1","E,0509","-5.1","E,0509","-9.3","E,0331","-9.3","E,0331","","","","","    700.9"," ,E","","","","","     -0.33","E"
"SWE00139148","1861","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        72","E","        61","E","         1","E","","","         9"," ","       186","E","","","","","","","  -27.5","E,0112, ","","","  56.7"," ,E,0731, ","","","-0.8","E,0912","-2.3","E,1005","-5.2","E,1018","-7.3","E,1106","-14.7","E,1117","0.0","E,0522","-3.9","E,0519","-5.7","E,0429","-6.7","E,0422","-12.5","E,0315","","","","","    573.1"," ,E","","","","","      0.50","E"
"SWE00139148","1862","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","        75","E","        60","E","         1","E","","","        20"," ","       190","E","","","","","","","  -25.8","E,0207, ","","","  28.5"," ,E,1130, ","","","-0.8","E,0901","-2.2","E,0918","-5.2","E,1015","-11.5","E,1201","-11.5","E,1201","-0.7","E,0628","-2.6","E,0505","-4.8","E,0417","-7.4","E,0406","-17.8","E,0327","","","","","    594.4"," ,E","","","","","     -0.89","E"
"SWE00139148","1863","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       142","E","        58","E","         0","E","","","         2"," ","       168","E","","","","","","","  -19.1","E,0310, ","","","  22.7"," ,E,0506, ","","","0.0","E,0919","-3.0","E,1022","-5.0","E,1024","-7.8","E,1025","-9.4","E,1212","-1.0","E,0718","-2.5","E,0602","-4.4","E,0525","-9.2","E,0427","-9.2","E,0427","","","","","    497.0"," ,E","","","","","      1.23","E"
"SWE00139148","1864","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       129","E","        60","E","         1","E","","","         2"," ","       203","E","","","","","","","  -20.5","E,0103,+","","","  27.0"," ,E,0704, ","","","-0.9","E,0828","-3.7","E,1003","-6.6","E,1014","-7.9","E,1015","-10.5","E,1016","-7.1","E,0527","-7.1","E,0527","-7.1","E,0527","-7.1","E,0527","-13.5","E,0408","","","","","    458.7"," ,E","","","","","     -0.86","E"
"SWE00139148","1865","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       122","E","        63","E","         0","E","","","        24"," ","       168","E","","","","","","","  -30.6","E,0204, ","","","  23.0"," ,E,0805, ","","","-1.9","E,0903","-3.7","E,1002","-7.4","E,1003","-7.4","E,1003","-16.2","E,1018","-0.3","E,0618","-6.7","E,0513","-6.7","E,0513","-6.7","E,0513","-8.9","E,0430","","","","","    462.2"," ,E","","","","","     -0.25","E"
"SWE00139148","1866","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       181","E","        94","E","         1","E","","","        12"," ","       183","E","","","","","","","  -22.7","E,0316, ","","","  53.5"," ,E,0710, ","","","-1.7","E,1005","-2.2","E,1011","-5.1","E,1018","-8.4","E,1111","-11.5","E,1116","-2.1","E,0523","-5.1","E,0522","-5.1","E,0522","-10.1","E,0421","-10.1","E,0421","","","","","    836.9"," ,E","","","","","     -0.07","E"
"SWE00139148","1867","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       151","E","        67","E","         1","E","","","        21"," ","       202","E","","","","","","","  -23.3","E,1215, ","","","  25.5"," ,E,0720, ","","","-0.4","E,0919","-3.3","E,0926","-4.4","E,1029","-6.7","E,1112","-15.8","E,1117","-1.2","E,0612","-3.0","E,0603","-5.2","E,0524","-8.1","E,0514","-11.8","E,0513","","","","","    592.1"," ,E","","","","","     -2.01","E"
"SWE00139148","1868","59.86","17.63","13.0","UPPSALA AUT, SW","","","","","       152","E","        68","E","         1","E","","","","","","","","","","","","","","","","","  36.7"," ,E,0915, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    596.9"," ,E","","","","","",""
