"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00139796","1957","62.41","17.27","35.0","SUNDSVALL, SW","","","","","       147","E","        63","E","         2","E","","","","","","","","","","","","","  35.0"," ,E,0912, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    646.4"," ,E","","","","","",""
"SWE00139796","1958","62.41","17.27","35.0","SUNDSVALL, SW","","","","","       153","E","        64","E","         1","E","","","","","","","","","","","","","  35.3"," ,E,0802, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    525.5"," ,E","","","","","",""
"SWE00139796","1960","62.41","17.27","35.0","SUNDSVALL, SW","","","","","       162","E","        76","E","         1","E","","","","","","","","","","","","","  32.0"," ,E,0630, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    670.6"," ,E","","","","","",""
"SWE00139796","1961","62.41","17.27","35.0","SUNDSVALL, SW","      5.1","","       5.1","E","       140","E","        61","E","         1","E","         5","E","       150","E","        58","E","        27","E","         0","E","  -22.2","E,0121, ","  28.6"," ,E,1018, ","   28.9","E,0606, ","-0.2","E,0927","-3.2","E,1031","-4.6","E,1106","-8.9","E,1127","-8.9","E,1127","-0.4","E,0517","-4.1","E,0429","-5.7","E,0421","-8.0","E,0412","-11.2","E,0321","","","","","    643.6"," ,E","      5.30","E","      9.49","E","      1.12","E"
"SWE00139796","1962","62.41","17.27","35.0","SUNDSVALL, SW","      0.0","","       0.0","E","       160","E","        64","E","         2","E","        17","E","       174","E","        85","E","        10","E","         0","E","  -24.0","E,0130, ","  38.8"," ,E,1212, ","   24.5","E,0708, ","-0.3","E,1009","-2.3","E,1015","-5.1","E,1030","-11.3","E,1117","-11.3","E,1117","-0.2","E,0527","-3.9","E,0430","-4.4","E,0420","-6.8","E,0415","-11.7","E,0330","    5246.2","2","    5246.2","E","    617.6"," ,E","      3.20","E","      7.55","E","     -1.15","E"
"SWE00139796","1963","62.41","17.27","35.0","SUNDSVALL, SW","      1.3","","       1.3","E","       119","E","        58","E","         0","E","        22","E","       174","E","        85","E","        24","E","         0","E","  -26.7","E,0218, ","  24.7"," ,E,0627, ","   26.7","E,0605, ","-0.6","E,0920","-3.1","E,1106","-8.1","E,1111","-8.1","E,1111","-13.6","E,1122","-0.5","E,0510","-5.6","E,0425","-5.6","E,0425","-8.1","E,0403","-16.5","E,0401","    5546.7","7","    5546.7","E","    577.8"," ,E","      3.64","E","      8.10","E","     -0.82","E"
"SWE00139796","1964","62.41","17.27","35.0","SUNDSVALL, SW","      2.1","","       2.1","E","       129","E","        63","E","         3","E","         7","E","       177","E","        61","E","        21","E","         0","E","  -21.5","E,1229, ","  38.4"," ,E,0917, ","   25.4","E,0615, ","-1.6","E,0912","-3.0","E,1007","-5.7","E,1102","-9.5","E,1108","-9.5","E,1108","-1.0","E,0601","-2.2","E,0426","-5.0","E,0425","-6.9","E,0406","-9.6","E,0331","    5022.3","3","    5022.3","E","    575.5"," ,E","      4.13","E","      8.42","E","     -0.16","E"
"SWE00139796","1965","62.41","17.27","35.0","SUNDSVALL, SW","      0.7","","       0.7","E","       157","E","        67","E","         3","E","        19","E","       186","E","        85","E","         7","E","         0","E","  -25.8","E,1214, ","  37.9"," ,E,0914, ","   26.0","E,0718, ","-2.6","E,1002","-2.6","E,1002","-5.2","E,1111","-11.8","E,1113","-11.8","E,1113","-0.2","E,0613","-2.7","E,0530","-5.1","E,0502","-9.3","E,0409","-9.3","E,0409","    5265.8","8","    5265.8","E","    762.3"," ,E","      3.29","E","      7.53","E","     -0.95","E"
"SWE00139796","1966","62.41","17.27","35.0","SUNDSVALL, SW","     21.1","","      21.1","E","       162","E","        82","E","         5","E","        33","E","       186","E","       102","E","        45","E","         0","E","  -32.5","E,0204, ","  54.5"," ,E,0805, ","   30.0","E,0619, ","-1.2","E,0927","-3.5","E,1027","-5.0","E,1028","-10.2","E,1119","-10.2","E,1119","-1.0","E,0512","-3.0","E,0508","-5.0","E,0507","-7.0","E,0423","-9.0","E,0421","    6040.2","2","    6040.2","E","    931.4"," ,E","      2.71","E","      6.91","E","     -1.49","E"
"SWE00139796","1967","62.41","17.27","35.0","SUNDSVALL, SW","     11.2","","      11.2","E","       138","E","        84","E","         1","E","        21","E","       165","E","        60","E","        33","E","         0","E","  -29.0","E,0130, ","  25.6"," ,E,0830, ","   28.7","E,0802, ","-2.0","E,1007","-2.2","E,1018","-5.4","E,1101","-7.4","E,1206","-12.2","E,1208","-1.2","E,0510","-3.0","E,0506","-4.8","E,0503","-7.4","E,0423","-9.0","E,0303","    5070.7","7","    5070.7","E","    761.6"," ,E","      4.46","E","      8.58","E","      0.35","E"
