"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SWE00140006","1964","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       217","E","       122","E","         2","E","  48.0"," ,E,0830, ","    934.1"," ,E"
"SWE00140006","1965","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       204","E","       112","E","         0","E","  23.5"," ,E,0914, ","    852.5"," ,E"
"SWE00140006","1966","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       187","E","        98","E","         1","E","  30.0"," ,E,0806, ","    822.6"," ,E"
"SWE00140006","1967","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       204","E","        92","E","         4","E","  45.5"," ,E,1214, ","    892.0"," ,E"
"SWE00140006","1968","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       191","E","        75","E","         1","E","  38.7"," ,E,1022, ","    575.6"," ,E"
"SWE00140006","1969","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       175","E","        83","E","         2","E","  42.4"," ,E,0701, ","    682.2"," ,E"
"SWE00140006","1970","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       195","E","        95","E","         4","E","  33.3"," ,E,0903, ","    794.0"," ,E"
"SWE00140006","1971","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       232","E","       133","E","         2","E","  54.0"," ,E,0614, ","   1139.1"," ,E"
"SWE00140006","1972","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       171","E","        81","E","         0","E","  23.7"," ,E,0425, ","    641.3"," ,E"
"SWE00140006","1973","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       256","E","       135","E","         2","E","  36.7"," ,E,1001, ","   1104.9"," ,E"
"SWE00140006","1974","63.28","12.12","583.0","STORLIEN STORVALLEN, SW","       174","E","        75","E","         2","E","  43.9"," ,E,0726, ","    626.5"," ,E"
