"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00140914","1996","67.91","18.61","1150.0","TARFALA A, SW","      0.0","","       0.0","E","        23","E","       271","E","       198","E","         0","E","         0","E","  -23.9","E,0211, ","   18.1","E,0807, ","-0.9","E,0905","-3.2","E,0909","-5.1","E,0913","-7.3","E,1013","-11.2","E,1014","-0.5","E,0630","-4.0","E,0615","-9.2","E,0530","-9.2","E,0530","-9.2","E,0530","","","","","     -3.14","E","      0.02","E","     -6.30","E"
"SWE00140914","1997","67.91","18.61","1150.0","TARFALA A, SW","      0.0","","       0.0","E","        37","E","       263","E","       193","E","         0","E","         0","E","  -24.2","E,0209, ","   17.5","E,0808,+","-0.7","E,0815","-3.2","E,0916","-4.9","E,0922","-7.5","E,1008","-9.3","E,1015","-1.9","E,0627","-2.9","E,0626","-8.7","E,0604","-8.7","E,0604","-10.8","E,0523","    8011.0","0","    8011.0","E","     -3.17","E","      0.18","E","     -6.51","E"
"SWE00140914","2003","67.91","18.61","1150.0","TARFALA A, SW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    7655.4","4","    7655.4","E","","","","","",""
"SWE00140914","2004","67.91","18.61","1150.0","TARFALA A, SW","      0.0","","       0.0","E","        21","E","       269","E","       174","E","         0","E","         0","E","  -24.4","E,0120, ","   18.5","E,0804, ","-0.3","E,0814","-2.5","E,0908","-4.7","E,0914","-8.4","E,1008","-9.2","E,1009","-0.1","E,0619","-4.9","E,0610","-4.9","E,0610","-9.0","E,0517","-9.0","E,0517","","","","","     -2.64","E","      0.48","E","     -5.76","E"
"SWE00140914","2005","67.91","18.61","1150.0","TARFALA A, SW","      0.0","","       0.0","E","        12","E","       257","E","       183","E","         0","E","         0","E","  -21.5","E,0315, ","   18.8","E,0706, ","-0.7","E,0803","-2.6","E,0911","-5.4","E,0916","-8.4","E,1021","-11.5","E,1022","-0.1","E,0628","-3.0","E,0608","-5.5","E,0531","-10.5","E,0517","-10.5","E,0517","    7637.1","1","    7637.1","E","     -2.29","E","      0.94","E","     -5.53","E"
"SWE00140914","2006","67.91","18.61","1150.0","TARFALA A, SW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    7466.7","7","    7466.7","E","","","","","",""
"SWE00140914","2008","67.91","18.61","1150.0","TARFALA A, SW","      0.0","","       0.0","E","        16","E","       264","E","       195","E","         0","E","         0","E","  -23.4","E,0324, ","   19.2","E,0730, ","-0.7","E,0830","-2.7","E,0903","-4.4","E,0919","-8.5","E,1004","-9.2","E,1029","-0.1","E,0628","-2.9","E,0612","-4.7","E,0523","-7.5","E,0521","-9.0","E,0517","    7617.4","4","    7617.4","E","     -2.95","E","      0.26","E","     -6.17","E"
"SWE00140914","2010","67.91","18.61","1150.0","TARFALA A, SW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    7944.6","6","    7944.6","E","","","","","",""
"SWE00140914","2015","67.91","18.61","1150.0","TARFALA A, SW","      0.0","","       0.0","E","        17","E","       269","E","       171","E","         0","E","         0","E","  -27.3","E,0112, ","   18.4","E,0820, ","-2.1","E,0902","-3.7","E,1002","-4.8","E,1004","-8.5","E,1005","-9.5","E,1006","-1.4","E,0705","-3.5","E,0630","-5.1","E,0615","-9.0","E,0525","-9.0","E,0525","    7472.0","0","    7472.0","E","     -2.15","E","      1.00","E","     -5.29","E"
"SWE00140914","2016","67.91","18.61","1150.0","TARFALA A, SW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    7462.0","0","    7462.0","E","","","","","",""
