"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWM00002485","1859","59.35","18.05","44.0","STOCKHOLM, SW","","","","","       103","E","        40","E","         0","E","","","","","","","","","","","","","","","","","  17.8"," ,E,1105, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    357.2"," ,E","","","","","",""
"SWM00002485","1860","59.35","18.05","44.0","STOCKHOLM, SW","","","","","       132","E","        52","E","         1","E","","","","","","","","","","","","","","","","","  29.6"," ,E,0823, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    430.7"," ,E","","","","","",""
"SWM00002485","1861","59.35","18.05","44.0","STOCKHOLM, SW","","","","","        93","E","        45","E","         1","E","","","","","","","","","","","","","","","","","  28.2"," ,E,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    419.1"," ,E","","","","","",""
"SWM00002485","1862","59.35","18.05","44.0","STOCKHOLM, SW","","","","","        76","E","        50","E","         0","E","","","","","","","","","","","","","","","","","  19.0"," ,E,0310, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    340.5"," ,E","","","","","",""
"SWM00002485","1864","59.35","18.05","44.0","STOCKHOLM, SW","","","","","        73","E","        31","E","         1","E","","","","","","","","","","","","","","","","","  43.2"," ,E,0618, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    355.5"," ,E","","","","","",""
"SWM00002485","1865","59.35","18.05","44.0","STOCKHOLM, SW","","","","","        71","E","        46","E","         0","E","","","","","","","","","","","","","","","","","  20.5"," ,E,0625, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    343.1"," ,E","","","","","",""
"SWM00002485","1866","59.35","18.05","44.0","STOCKHOLM, SW","","","","","        89","E","        55","E","         2","E","","","","","","","","","","","","","","","","","  66.9"," ,E,0814, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    543.2"," ,E","","","","","",""
"SWM00002485","1867","59.35","18.05","44.0","STOCKHOLM, SW","","","","","        97","E","        47","E","         1","E","","","","","","","","","","","","","","","","","  26.6"," ,E,0803, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    366.3"," ,E","","","","","",""
"SWM00002485","1868","59.35","18.05","44.0","STOCKHOLM, SW","","","","","       107","E","        47","E","         0","E","","","","","","","","","","","","","","","","","  23.8"," ,E,1021, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    415.6"," ,E","","","","","",""
"SWM00002485","1869","59.35","18.05","44.0","STOCKHOLM, SW","","","","","        92","E","        57","E","         1","E","","","","","","","","","","","","","","","","","  25.5"," ,E,0820, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    439.3"," ,E","","","","","",""
