"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"TI000038598","1977","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        61","I","        23","I","         1","I","  40.4"," ,I,1023, ","    206.9"," ,I"
"TI000038598","1978","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        52","I","        27","I","         0","I","  18.3"," ,I,0111, ","    188.3"," ,I"
"TI000038598","1979","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        53","I","        23","I","         0","I","  18.1"," ,I,1202, ","    196.8"," ,I"
"TI000038598","1980","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        56","I","        20","I","         0","I","  13.3"," ,I,1125, ","    151.8"," ,I"
"TI000038598","1981","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        64","I","        29","I","         1","I","  35.4"," ,I,0531, ","    243.6"," ,I"
"TI000038598","1982","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        62","I","        21","I","         0","I","   8.7"," ,I,0919, ","    147.8"," ,I"
"TI000038598","1983","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        48","I","        14","I","         0","I","  12.0"," ,I,0531, ","    102.8"," ,I"
"TI000038598","1984","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        51","I","        23","I","         0","I","  15.6"," ,I,1120, ","    166.9"," ,I"
"TI000038598","1985","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        48","I","        20","I","         0","I","  11.9"," ,I,0120, ","    145.5"," ,I"
"TI000038598","1986","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        43","I","        11","I","         0","I","  12.6"," ,I,0603, ","     88.0"," ,I"
"TI000038598","1988","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        44","I","        19","I","         0","I","  15.0"," ,I,1217, ","    128.8"," ,I"
"TI000038598","1989","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        30","I","        12","I","         0","I","   9.5"," ,I,0331, ","     73.6"," ,I"
"TI000038598","1990","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","        65","I","        22","I","         0","I","  14.5"," ,I,0426, ","    154.0"," ,I"
