"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"TX000038767","1936","38.4","56.3","314.0","GARRIGALA, TX","        48","I","        22","I","         1","I","  26.7"," ,I,0204, ","    224.9"," ,I"
"TX000038767","1939","38.4","56.3","314.0","GARRIGALA, TX","        41","I","        28","I","         1","I","  33.2"," ,I,0414, ","    267.9"," ,I"
"TX000038767","1940","38.4","56.3","314.0","GARRIGALA, TX","        62","I","        31","I","         1","I","  41.6"," ,I,0227, ","    281.1"," ,I"
"TX000038767","1941","38.4","56.3","314.0","GARRIGALA, TX","        60","I","        36","I","         2","I","  28.4"," ,I,0417, ","    321.6"," ,I"
"TX000038767","1942","38.4","56.3","314.0","GARRIGALA, TX","        51","I","        21","I","         1","I","  61.5"," ,I,1001, ","    234.1"," ,I"
"TX000038767","1944","38.4","56.3","314.0","GARRIGALA, TX","        49","I","        22","I","         0","I","  19.1"," ,I,0401, ","    174.4"," ,I"
"TX000038767","1946","38.4","56.3","314.0","GARRIGALA, TX","        51","I","        29","I","         0","I","  22.5"," ,I,0418, ","    250.5"," ,I"
"TX000038767","1948","38.4","56.3","314.0","GARRIGALA, TX","        47","I","        33","I","         0","I","  22.5"," ,I,0416, ","    222.4"," ,I"
"TX000038767","1949","38.4","56.3","314.0","GARRIGALA, TX","        57","I","        27","I","         1","I","  28.7"," ,I,0817, ","    238.7"," ,I"
"TX000038767","1950","38.4","56.3","314.0","GARRIGALA, TX","        61","I","        23","I","         2","I","  32.0"," ,I,0508, ","    252.4"," ,I"
"TX000038767","1951","38.4","56.3","314.0","GARRIGALA, TX","        53","I","        25","I","         2","I","  33.4"," ,I,0510, ","    272.2"," ,I"
"TX000038767","1952","38.4","56.3","314.0","GARRIGALA, TX","        53","I","        30","I","         1","I","  26.6"," ,I,0210, ","    275.7"," ,I"
"TX000038767","1953","38.4","56.3","314.0","GARRIGALA, TX","        60","I","        29","I","         0","I","  17.9"," ,I,0213, ","    241.9"," ,I"
"TX000038767","1954","38.4","56.3","314.0","GARRIGALA, TX","        63","I","        34","I","         0","I","  17.9"," ,I,0221, ","    312.2"," ,I"
"TX000038767","1956","38.4","56.3","314.0","GARRIGALA, TX","        60","I","        39","I","         1","I","  25.5"," ,I,0808, ","    277.2"," ,I"
"TX000038767","1957","38.4","56.3","314.0","GARRIGALA, TX","        64","I","        39","I","         0","I","  22.6"," ,I,0315, ","    344.7"," ,I"
"TX000038767","1958","38.4","56.3","314.0","GARRIGALA, TX","        50","I","        28","I","         0","I","   9.7"," ,I,0613, ","    163.5"," ,I"
"TX000038767","1959","38.4","56.3","314.0","GARRIGALA, TX","        62","I","        31","I","         1","I","  33.1"," ,I,0401, ","    278.2"," ,I"
"TX000038767","1960","38.4","56.3","314.0","GARRIGALA, TX","        49","I","        20","I","         1","I","  27.3"," ,I,0429, ","    181.0"," ,I"
"TX000038767","1961","38.4","56.3","314.0","GARRIGALA, TX","        45","I","        27","I","         2","I","  31.1"," ,I,0327, ","    224.7"," ,I"
"TX000038767","1962","38.4","56.3","314.0","GARRIGALA, TX","        48","I","        30","I","         0","I","  18.0"," ,I,1011, ","    231.2"," ,I"
"TX000038767","1963","38.4","56.3","314.0","GARRIGALA, TX","        57","I","        31","I","         2","I","  45.4"," ,I,0801, ","    276.8"," ,I"
"TX000038767","1964","38.4","56.3","314.0","GARRIGALA, TX","        48","I","        30","I","         1","I","  36.5"," ,I,0328, ","    271.7"," ,I"
"TX000038767","1965","38.4","56.3","314.0","GARRIGALA, TX","        55","I","        34","I","         1","I","  26.3"," ,I,1025, ","    295.9"," ,I"
"TX000038767","1966","38.4","56.3","314.0","GARRIGALA, TX","        52","I","        20","I","         2","I","  55.9"," ,I,0219, ","    269.3"," ,I"
"TX000038767","1967","38.4","56.3","314.0","GARRIGALA, TX","        56","I","        30","I","         0","I","  20.1"," ,I,0325, ","    265.9"," ,I"
"TX000038767","1968","38.4","56.3","314.0","GARRIGALA, TX","        64","I","        36","I","         2","I","  27.9"," ,I,1216, ","    407.7"," ,I"
"TX000038767","1969","38.4","56.3","314.0","GARRIGALA, TX","        91","I","        51","I","         1","I","  59.4"," ,I,0414, ","    523.0"," ,I"
"TX000038767","1970","38.4","56.3","314.0","GARRIGALA, TX","        49","I","        30","I","         1","I","  36.9"," ,I,0723, ","    243.7"," ,I"
"TX000038767","1971","38.4","56.3","314.0","GARRIGALA, TX","        54","I","        28","I","         1","I","  25.5"," ,I,0426, ","    252.2"," ,I"
"TX000038767","1972","38.4","56.3","314.0","GARRIGALA, TX","        75","I","        42","I","         2","I","  55.0"," ,I,0521, ","    460.9"," ,I"
"TX000038767","1973","38.4","56.3","314.0","GARRIGALA, TX","        78","I","        39","I","         1","I","  38.5"," ,I,0201, ","    337.5"," ,I"
"TX000038767","1974","38.4","56.3","314.0","GARRIGALA, TX","        73","I","        38","I","         0","I","  22.2"," ,I,0730, ","    333.7"," ,I"
"TX000038767","1975","38.4","56.3","314.0","GARRIGALA, TX","        53","I","        30","I","         0","I","  25.0"," ,I,0604, ","    269.0"," ,I"
"TX000038767","1976","38.4","56.3","314.0","GARRIGALA, TX","        73","I","        34","I","         0","I","  18.5"," ,I,0322, ","    288.3"," ,I"
"TX000038767","1977","38.4","56.3","314.0","GARRIGALA, TX","        68","I","        38","I","         0","I","  24.8"," ,I,1022, ","    341.4"," ,I"
"TX000038767","1978","38.4","56.3","314.0","GARRIGALA, TX","        76","I","        38","I","         3","I","  38.7"," ,I,0502, ","    434.4"," ,I"
"TX000038767","1979","38.4","56.3","314.0","GARRIGALA, TX","        72","I","        41","I","         0","I","  23.5"," ,I,0920, ","    329.1"," ,I"
"TX000038767","1980","38.4","56.3","314.0","GARRIGALA, TX","        68","I","        32","I","         1","I","  49.1"," ,I,0212, ","    320.5"," ,I"
