"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKM00003091","1973","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       162","S","        79","S","         1","S","","","","","","","","","","","","","  32.0"," ,S,1220, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    617.8"," ,S","","","","","",""
"UKM00003091","1974","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       188","S","        88","S","         1","S","","","","","","","","","","","","","  27.9"," ,S,1028, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    751.7"," ,S","","","","","",""
"UKM00003091","1975","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       167","S","        69","S","         4","S","","","","","","","","","","","","","  45.0"," ,S,0918, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    679.4"," ,S","","","","","",""
"UKM00003091","1976","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       170","S","        83","S","         5","S","","","","","","","","","","","","","  52.1"," ,S,0220, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    793.1"," ,S","","","","","",""
"UKM00003091","1977","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       181","S","        86","S","         2","S","","","","","","","","","","","","","  40.9"," ,S,0210, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    798.0"," ,S","","","","","",""
"UKM00003091","1978","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       170","S","        76","S","         3","S","","","","","","","","","","","","","  47.0"," ,S,0128, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    788.8"," ,S","","","","","",""
"UKM00003091","1979","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       180","S","        88","S","         1","S","","","","","","","","","","","","","  25.9"," ,S,1208, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    760.7"," ,S","","","","","",""
"UKM00003091","1980","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       225","S","        95","S","         3","S","","","","","","","","","","","","","  33.0"," ,S,0815, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    826.1"," ,S","","","","","",""
"UKM00003091","1981","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       192","S","        77","S","         2","S","","","","","","","","","","","","","  30.0"," ,S,0920, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    714.1"," ,S","","","","","",""
"UKM00003091","2001","57.18","-2.2","102.0","CRAIBSTONE, UK","      1.4","","       1.4","E","       194","E","        91","E","         2","E","         0","E","        69","E","         0","E","         7","E","         0","E","  -10.5","E,0302, ","  35.2"," ,E,0312, ","   25.8","E,0701, ","-1.0","E,1108","-2.6","E,1206","-5.5","E,1230","","","","","-0.5","E,0507","-2.3","E,0320","-8.0","E,0303","-8.0","E,0303","-10.5","E,0302","","","","","    875.0"," ,E","      8.03","E","     11.42","E","      4.63","E"
"UKM00003091","2002","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.0","","       0.0","E","       193","E","       119","E","         8","E","         0","E","        45","E","         0","E","         4","E","         0","E","  -10.0","E,0102, ","  52.8"," ,E,1022, ","   23.1","E,0827, ","0.0","E,1019","-2.5","E,1220","","","","","","","-0.5","E,0428","-2.9","E,0320","-5.0","E,0225","-8.0","E,0103","-10.0","E,0102","    3399.2","2","    3399.2","E","   1215.1"," ,E","      8.67","E","     11.94","E","      5.40","E"
"UKM00003091","2003","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.7","","       0.7","E","       151","E","        67","E","         1","E","         0","E","        56","E","         0","E","        18","E","         0","E","   -7.0","E,1231, ","  30.3"," ,E,1231, ","   23.6","E,0807, ","-1.0","E,1018","-3.1","E,1123","-5.0","E,1124","-7.0","E,1231","","","-2.1","E,0410","-3.5","E,0320","-5.5","E,0215","","","","","    3417.4","4","    3417.4","E","    587.0"," ,E","      8.87","E","     12.62","E","      5.12","E"
"UKM00003091","2004","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.9","","       0.9","E","       207","E","        96","E","         3","E","         0","E","        51","E","         0","E","        12","E","         0","E","   -7.5","E,1121, ","  37.2"," ,E,0623, ","   25.3","E,0903, ","-0.6","E,1026","-2.2","E,1119","-7.5","E,1121","-7.5","E,1121","","","0.0","E,0527","-3.3","E,0303","-6.0","E,0302","","","","","    3354.8","8","    3354.8","E","    876.7"," ,E","      8.73","E","     12.21","E","      5.26","E"
"UKM00003091","2005","57.18","-2.2","102.0","CRAIBSTONE, UK","      3.6","","       3.6","E","       183","E","        91","E","         3","E","         0","E","        65","E","         0","E","        18","E","         0","E","   -7.9","E,1229, ","  42.2"," ,E,1011, ","   24.9","E,0618, ","-0.1","E,1116","-4.6","E,1119","-4.6","E,1119","-7.9","E,1229","","","-1.5","E,0518","-2.9","E,0314","","","","","","","    3526.3","3","    3526.3","E","    779.2"," ,E","      8.44","E","     12.06","E","      4.82","E"
"UKM00003091","2006","57.18","-2.2","102.0","CRAIBSTONE, UK","      8.0","","       8.0","E","       178","E","        86","E","         2","E","         0","E","        59","E","         0","E","        26","E","         0","E","   -7.8","E,0131, ","  36.1"," ,E,0324, ","   28.8","E,0717, ","-0.4","E,1119","-2.8","E,1218","","","","","","","0.0","E,0523","-2.5","E,0408","-6.0","E,0322","-7.0","E,0201","","","    3704.1","1","    3704.1","E","    740.4"," ,E","      8.69","E","     12.44","E","      4.93","E"
"UKM00003091","2007","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.9","","       0.9","E","       182","E","        96","E","         4","E","         0","E","        35","E","         0","E","         5","E","         0","E","   -4.1","E,1222, ","  47.9"," ,E,0805, ","   25.5","E,0824, ","-1.1","E,1124","-3.1","E,1209","","","","","","","-0.1","E,0402","-2.2","E,0208","","","","","","","    3221.2","2","    3221.2","E","    953.7"," ,E","      8.90","E","     12.38","E","      5.42","E"
"UKM00003091","2008","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.2","","       0.2","E","       186","E","        95","E","         3","E","         0","E","        48","E","         0","E","        13","E","         0","E","   -5.1","E,0305,+","  36.3"," ,E,1213, ","   24.9","E,0722, ","-0.9","E,1028","-2.2","E,1123","-4.5","E,1231","","","","","-0.5","E,0416","-3.1","E,0326","-5.1","E,0305","","","","","    3527.9","9","    3527.9","E","    897.3"," ,E","      8.46","E","     11.99","E","      4.93","E"
"UKM00003091","2009","57.18","-2.2","102.0","CRAIBSTONE, UK","      5.4","","       5.4","E","       198","E","       112","E","         6","E","         0","E","        59","E","         2","E","         9","E","         0","E","  -10.5","E,0209, ","  73.1"," ,E,1021, ","   26.8","E,0630, ","0.0","E,1005","-2.5","E,1201","-5.0","E,1220","-7.5","E,1227","","","-1.9","E,0329","-3.1","E,0305","-8.0","E,0210","-8.0","E,0210","-10.5","E,0209","    3471.3","3","    3471.3","E","   1154.9"," ,E","      8.57","E","     12.07","E","      5.07","E"
"UKM00003091","2010","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.0","","       0.0","E","       205","E","        97","E","         7","E","         0","E","        81","E","        12","E","         7","E","         0","E","  -12.0","E,1203, ","  41.8"," ,E,1209, ","   22.8","E,0819, ","-0.2","E,1101","-3.8","E,1127","-12.0","E,1203","-12.0","E,1203","-12.0","E,1203","-0.4","E,0512","-5.9","E,0304","-5.9","E,0304","-9.1","E,0221","-9.1","E,0221","    3652.0","0","    3652.0","E","    964.0"," ,E","      7.35","E","     10.68","E","      4.03","E"
"UKM00003091","2011","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.0","","       0.0","E","       171","E","        89","E","         2","E","         0","E","        43","E","         0","E","         5","E","         0","E","   -4.2","E,0107, ","  27.6"," ,E,0916, ","   24.6","E,0601, ","-0.4","E,1107","-3.0","E,1205","","","","","","","-1.6","E,0504","-2.3","E,0211","","","","","","","    3638.2","2","    3638.2","E","    799.4"," ,E","      8.72","E","     12.04","E","      5.39","E"
"UKM00003091","2012","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.0","","       0.0","E","       190","E","        95","E","         5","E","         0","E","        46","E","         0","E","         9","E","         0","E","   -5.3","E,1214, ","  46.0"," ,E,1222, ","   24.0","E,0902, ","-1.0","E,1016","-3.2","E,1203","-5.2","E,1213","","","","","-0.8","E,0520","-2.2","E,0219","-5.2","E,0203","","","","","    3522.1","1","    3522.1","E","    894.9"," ,E","      7.87","E","     11.20","E","      4.55","E"
"UKM00003091","2013","57.18","-2.2","102.0","CRAIBSTONE, UK","      2.8","","       2.8","E","       167","E","        82","E","         1","E","         0","E","        67","E","         2","E","        21","E","         0","E","   -8.3","E,0116, ","  33.2"," ,E,0723, ","   25.6","E,0717, ","-1.7","E,1105","","","","","","","","","-0.9","E,0502","-3.0","E,0402","-4.5","E,0311","-8.3","E,0116","","","    3897.1","1","    3897.1","E","    674.4"," ,E","      8.18","E","     11.58","E","      4.77","E"
"UKM00003091","2014","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.0","","       0.0","E","       199","E","       101","E","         4","E","         0","E","        29","E","         0","E","         8","E","         0","E","   -3.5","E,1226, ","  48.0"," ,E,0810, ","   23.5","E,0725, ","-0.8","E,1110","-3.5","E,1226","","","","","","","-0.6","E,0502","-2.5","E,0217","","","","","","","    3271.9","9","    3271.9","E","    968.6"," ,E","      9.07","E","     12.19","E","      5.96","E"
"UKM00003091","2015","57.18","-2.2","102.0","CRAIBSTONE, UK","      1.0","","       1.0","E","       188","E","        93","E","         3","E","         0","E","        35","E","         0","E","         5","E","         0","E","   -4.5","E,0122, ","  29.6"," ,E,0131, ","   26.0","E,0701, ","-0.6","E,1122","","","","","","","","","-0.9","E,0508","-3.2","E,0211","-4.5","E,0122","","","","","    3489.5","5","    3489.5","E","    854.8"," ,E","      8.43","E","     11.80","E","      5.06","E"
"UKM00003091","2016","57.18","-2.2","102.0","CRAIBSTONE, UK","      0.3","","       0.3","E","       201","E","       105","E","         4","E","         0","E","        45","E","         0","E","         9","E","         0","E","   -5.0","E,1120, ","  67.4"," ,E,0107, ","   25.2","E,0905, ","-0.6","E,1111","-5.0","E,1120","-5.0","E,1120","","","","","0.0","E,0330","-2.3","E,0216","","","","","","","    3460.7","7","    3460.7","E","    981.6"," ,E","      8.56","E","     11.74","E","      5.38","E"
"UKM00003091","2017","57.18","-2.2","102.0","CRAIBSTONE, UK","","","","","       202","E","       106","E","         3","E","         0","E","        32","E","         1","E","         7","E","         0","E","   -4.7","E,1210, ","  46.8"," ,E,0606, ","   24.6","E,0616, ","-0.7","E,1124","-4.7","E,1210","-4.7","E,1210","","","","","0.0","E,0425","-3.5","E,0131","","","","","","","","","","","    915.0"," ,E","      8.94","E","     12.17","E","      5.71","E"
