"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"UKW00015037","1951","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        39"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015037","1952","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","     31.8","","      31.8","X","       146","X","        70","X","         2","X","       15","","         4","X","         0","X","        78","X","         3","X","        59","X","         0","X","       159"," ","         6"," ","   -9.4","X,1205, ","   127"," ,X,1202,+","   135"," ,X,1129, ","  54.1"," ,X,0519, ","   31.1","X,0701, ","0.0","X,1011","-3.9","X,1124","-5.6","X,1125","-9.4","X,1205","-9.4","X,1205","0.0","X,0403","-2.8","X,0216","-5.6","X,0128","-7.2","X,0127","","","","","","","    622.2"," ,X","      289"," ,X","      9.13","X","     12.82","X","      5.45","X","","","",""
"UKW00015037","1953","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","     24.5","","      24.5","X","       114","X","        53","X","         0","X","        3","","         1","X","         0","X","        60","X","         0","X","        42","X","         1","X","       165"," ","         5"," ","   -5.6","X,0215, ","    51"," ,X,0214, ","    38"," ,X,0214, ","  23.6"," ,X,0823, ","   32.2","X,0812, ","0.0","X,1103","","","","","","","","","0.0","X,0410","-2.2","X,0316","-5.0","X,0304","","","","","    3500.4","4","    3500.4","X","    445.1"," ,X","       38"," ,X","      9.69","X","     13.61","X","      5.76","X","","","",""
"UKW00015037","1954","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","      0.6","","       0.6","X","       163","X","        81","X","         1","X","        0","","         2","X","         0","X","        55","X","         6","X","        20","X","         0","X","       151"," ","         9"," ","  -11.1","X,0202, ","     0","T,X,0203,+","    51"," ,X,0302, ","  26.9"," ,X,0106, ","   27.2","X,0901, ","-1.1","X,1026","-3.3","X,1118","","","","","","","-1.1","X,0429","-2.2","X,0407","-5.0","X,0302","-8.3","X,0206","-11.1","X,0202","    3320.2","2","    3320.2","X","    643.4"," ,X","       84"," ,X","      8.96","X","     12.71","X","      5.21","X","","","",""
"UKW00015037","1955","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","     52.7","","      52.7","X","       132","X","        48","X","         1","X","       19","","         7","X","         0","X","        86","X","        10","X","        60","X","         0","X","       176"," ","         8"," ","   -7.8","X,0226, ","   102"," ,X,0226,+","    89"," ,X,0104, ","  28.7"," ,X,0517, ","   29.4","X,0717, ","-0.6","X,1015","-2.2","X,1016","-5.6","X,1219","","","","","0.0","X,0517","-6.1","X,0331","-6.1","X,0331","-7.2","X,0228","","","    3483.9","9","    3483.9","X","    436.2"," ,X","      395"," ,X","      9.12","X","     13.20","X","      5.04","X","","","",""
"UKW00015037","1956","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","      8.7","","       8.7","X","       137","X","        59","X","         0","X","       11","","         4","X","         0","X","        81","X","        13","X","        27","X","         0","X","       185"," ","        15"," ","   -9.4","X,0202,+","   102"," ,X,1226, ","    51"," ,X,1225, ","  17.3"," ,X,1001, ","   27.2","X,0726, ","0.0","X,1026","-2.8","X,1121","-5.0","X,1122","","","","","0.0","X,0519","-3.3","X,0316","-4.4","X,0226","-7.2","X,0223","-8.9","X,0214","    3372.7","7","    3372.7","X","    469.7"," ,X","      184"," ,X","      8.60","X","     12.44","X","      4.76","X","","","",""
"UKW00015037","1957","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        48"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015037","1958","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        86"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015037","1959","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","     49.0","","      49.0","X","       138","X","        69","X","         1","X","        6","","         2","X","         0","X","        47","X","         3","X","        76","X","         0","X","       198"," ","        14"," ","   -5.6","X,0116,+","    51"," ,X,0107, ","    91"," ,X,0107, ","  26.7"," ,X,1214, ","   30.6","X,0705, ","-1.1","X,1106","-2.8","X,1107","","","","","","","0.0","X,0326","-2.8","X,0220","-4.4","X,0117","","","","","","","","","    583.6"," ,X","      170"," ,X","     10.42","X","     14.27","X","      6.58","X","       248","X","      21.6","X"
"UKW00015037","1960","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","      9.5","","       9.5","X","       193","X","        97","X","         3","X","       10","","         8","X","         0","X","        44","X","         2","X","        27","X","         0","X","       246"," ","        19"," ","   -6.7","X,0114, ","   152"," ,X,0115, ","   112"," ,X,0211, ","  57.9"," ,X,0623, ","   28.9","X,0618, ","0.0","X,1107","-3.3","X,1213","","","","","","","-0.6","X,0417","-2.2","X,0224","-6.7","X,0114","-6.7","X,0114","","","    2893.5","5","    2893.5","X","    919.5"," ,X","      556"," ,X","      9.60","X","     12.92","X","      6.28","X","       225","X","      24.7","X"
"UKW00015037","1961","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","      9.2","","       9.2","X","       157","X","        74","X","         1","X","        3","","         1","X","         0","X","        35","X","         2","X","        29","X","         0","X","       223"," ","         7"," ","   -8.9","X,1229,+","   152"," ,X,1231, ","   140"," ,X,1231, ","  27.4"," ,X,0612, ","   30.0","X,0829, ","0.0","X,1029","-2.2","X,1126","-5.0","X,1218","-8.9","X,1228","-8.9","X,1228","-0.6","X,0320","","","","","","","","","    3133.1","1","    3133.1","X","    623.9"," ,X","      183"," ,X","      9.69","X","     13.30","X","      6.09","X","","","",""
"UKW00015037","1962","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","      0.3","","       0.3","X","       162","X","        65","X","         1","X","       14","","         6","X","         0","X","        67","X","         7","X","        12","X","         0","X","       200"," ","         6"," ","   -9.4","X,0101, ","   178"," ,X,1231,+","   127"," ,X,1230, ","  28.2"," ,X,0806, ","   24.4","X,0609, ","-1.7","X,1027","-2.8","X,1119","-4.4","X,1203","-8.3","X,1228","","","-1.1","X,0414","-3.9","X,0325","-4.4","X,0318","-7.2","X,0103","-9.4","X,0101","    3451.4","4","    3451.4","X","    525.4"," ,X","      455"," ,X","      8.51","X","     11.96","X","      5.05","X","       293","X","      30.3","X"
"UKW00015037","1963","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","      2.6","","       2.6","X","       158","X","        73","X","         0","X","       61","","         4","X","         0","X","        76","X","        23","X","        22","X","         0","X","       251"," ","        11"," ","  -13.9","X,0123, ","   203"," ,X,0103, ","    86"," ,X,0103, ","  25.1"," ,X,1118, ","   26.1","X,0730, ","0.0","X,1120","-2.2","X,1121","-4.4","X,1220","-8.3","X,1224","","","0.0","X,0413","-4.4","X,0303","-4.4","X,0303","-6.7","X,0226","-10.0","X,0225","    3745.4","4","    3745.4","X","    572.5"," ,X","      272"," ,X","      8.42","X","     11.67","X","      5.17","X","       248","X","      26.2","X"
"UKW00015037","1964","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","     31.7","","      31.7","X","       152","X","        55","X","         0","X","","","","","         0","X","        43","X","         1","X","        61","X","         0","X","       244"," ","        13"," ","   -7.2","X,1229,+","","","","","  23.9"," ,X,0314, ","   30.0","X,0826, ","-0.6","X,1129","-2.2","X,1130","-4.4","X,1216","-7.2","X,1229","","","0.0","X,0317","-2.2","X,0316","-4.4","X,0221","-7.2","X,0113","","","    3255.6","6","    3255.6","X","    418.0"," ,X","","","     10.08","X","     13.58","X","      6.58","X","       210","X","      22.6","X"
"UKW00015037","1965","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        77"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015037","1966","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        83"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015037","1967","51.93333","-1.25","133.2","UPPER HEYFORD, ENG UK","     10.8","","      10.8","X","       154","X","        73","X","         1","X","        0","","         1","X","         0","X","        46","X","         4","X","        29","X","         0","X","       180"," ","        11"," ","   -8.3","X,1208, ","     0"," ,X,1231,+","    25"," ,X,1208, ","  28.4"," ,X,0512, ","   27.2","X,0717, ","-0.6","X,1107","-3.3","X,1117","-8.3","X,1208","-8.3","X,1208","","","-1.1","X,0503","-2.8","X,0401","-6.1","X,0109","","","","","","","","","    637.2"," ,X","      104"," ,X","      9.25","X","     12.57","X","      5.92","X","       248","X","      27.2","X"
