"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033231","1960","51.283","30.233","127.0","CHORNOBYL, UP","       127","I","        63","I","         2","I","","","","","","","","","","","","","  36.2"," ,I,0628, ","","","","","","","","","","","","","","","","","","","","","","","    514.9"," ,I","","","",""
"UPM00033231","1962","51.283","30.233","127.0","CHORNOBYL, UP","       139","I","        62","I","         1","I","","","","","","","","","","","","","  27.9"," ,I,1122, ","","","","","","","","","","","","","","","","","","","","","","","    549.9"," ,I","","","",""
"UPM00033231","1963","51.283","30.233","127.0","CHORNOBYL, UP","       108","I","        36","I","         0","I","","","","","","","","","","","","","  23.1"," ,I,0617, ","","","","","","","","","","","","","","","","","","","","","","","    323.2"," ,I","","","",""
"UPM00033231","1964","51.283","30.233","127.0","CHORNOBYL, UP","       120","I","        52","I","         4","I","","","","","","","","","","","","","  35.2"," ,I,0707, ","","","","","","","","","","","","","","","","","","","","","","","    551.7"," ,I","","","",""
"UPM00033231","1965","51.283","30.233","127.0","CHORNOBYL, UP","       121","I","        52","I","         2","I","","","","","","","","","","","","","  70.7"," ,I,0831, ","","","","","","","","","","","","","","","","","","","","","","","    614.2"," ,I","","","",""
"UPM00033231","1979","51.283","30.233","127.0","CHORNOBYL, UP","       148","I","        61","I","         1","I","","","","","","","","","","","","","  26.5"," ,I,0704, ","","","","","","","","","","","","","","","","","","","","","","","    539.6"," ,I","","","",""
"UPM00033231","1980","51.283","30.233","127.0","CHORNOBYL, UP","       167","I","        70","I","         3","I","","","","","","","","","","","","","  41.9"," ,I,0724, ","","","","","","","","","","","","","","","","","","","","","","","    831.0"," ,I","","","",""
"UPM00033231","1981","51.283","30.233","127.0","CHORNOBYL, UP","       144","I","        74","I","         2","I","","","","","","","","","","","","","  47.6"," ,I,0613, ","","","","","","","","","","","","","","","","","","","","","","","    688.8"," ,I","","","",""
"UPM00033231","1982","51.283","30.233","127.0","CHORNOBYL, UP","       121","I","        56","I","         1","I","","","","","","","","","","","","","  29.2"," ,I,0702, ","","","","","","","","","","","","","","","","","","","","","","","    506.2"," ,I","","","",""
"UPM00033231","1984","51.283","30.233","127.0","CHORNOBYL, UP","       133","I","        65","I","         1","I","","","","","","","","","","","","","  30.9"," ,I,0525, ","","","","","","","","","","","","","","","","","","","","","","","    529.0"," ,I","","","",""
"UPM00033231","1985","51.283","30.233","127.0","CHORNOBYL, UP","       140","I","        67","I","         3","I","","","","","","","","","","","","","  34.7"," ,I,0731, ","","","","","","","","","","","","","","","","","","","","","","","    708.3"," ,I","","","",""
"UPM00033231","1989","51.283","30.233","127.0","CHORNOBYL, UP","       145","I","        53","I","         2","I","","","","","","","","","","","","","  34.1"," ,I,0901, ","","","","","","","","","","","","","","","","","","","","","","","    548.4"," ,I","","","",""
"UPM00033231","1990","51.283","30.233","127.0","CHORNOBYL, UP","       166","I","        62","I","         4","I","","","","","","","","","","","","","  34.4"," ,I,0526, ","","","","","","","","","","","","","","","","","","","","","","","    604.5"," ,I","","","",""
"UPM00033231","2001","51.283","30.233","127.0","CHORNOBYL, UP","","","","","","","","","","","        49","u","        88","u","         8","u","","","","","   34.9","u,0723, ","","","","","","","","","","","","","","","","","","","","","","","     12.63","u","",""
"UPM00033231","2003","51.283","30.233","127.0","CHORNOBYL, UP","","","","","","","         6","u","       127","u","","","","","","","  -20.7","u,0212, ","","","","","0.0","u,1024","-6.0","u,1025","-6.0","u,1025","-7.8","u,1028","-9.0","u,1224","-13.8","u,0516","-13.8","u,0516","-13.8","u,0516","-13.8","u,0516","-13.8","u,0516","","","","","      3.10","u"
