"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033645","1947","48.5","24.6","531.0","YAREMCHA, UP","       163","I","        87","I","         3","I","","","","","","","","","","","","","  35.9"," ,I,1019, ","","","","","","","","","","","","","","","","","","","","","","","    815.6"," ,I","","","","","",""
"UPM00033645","1948","48.5","24.6","531.0","YAREMCHA, UP","       136","I","        73","I","         8","I","","","","","","","","","","","","","  62.0"," ,I,0717, ","","","","","","","","","","","","","","","","","","","","","","","    879.5"," ,I","","","","","",""
"UPM00033645","1949","48.5","24.6","531.0","YAREMCHA, UP","       156","I","        79","I","         3","I","","","","","","","","","","","","","  46.0"," ,I,0722, ","","","","","","","","","","","","","","","","","","","","","","","    862.6"," ,I","","","","","",""
"UPM00033645","1950","48.5","24.6","531.0","YAREMCHA, UP","       146","I","        82","I","         2","I","","","","","","","","","","","","","  27.4"," ,I,0816, ","","","","","","","","","","","","","","","","","","","","","","","    710.2"," ,I","","","","","",""
"UPM00033645","1951","48.5","24.6","531.0","YAREMCHA, UP","       155","I","        87","I","         3","I","","","","","","","","","","","","","  39.3"," ,I,0610, ","","","","","","","","","","","","","","","","","","","","","","","    846.6"," ,I","","","","","",""
"UPM00033645","1952","48.5","24.6","531.0","YAREMCHA, UP","       157","I","        80","I","         2","I","","","","","","","","","","","","","  36.8"," ,I,0920, ","","","","","","","","","","","","","","","","","","","","","","","    731.1"," ,I","","","","","",""
"UPM00033645","1953","48.5","24.6","531.0","YAREMCHA, UP","       132","I","        77","I","         6","I","","","","","","","","","","","","","  53.4"," ,I,0705, ","","","","","","","","","","","","","","","","","","","","","","","    889.0"," ,I","","","","","",""
"UPM00033645","1954","48.5","24.6","531.0","YAREMCHA, UP","       146","I","        77","I","         5","I","","","","","","","","","","","","","  58.8"," ,I,0819, ","","","","","","","","","","","","","","","","","","","","","","","    814.3"," ,I","","","","","",""
"UPM00033645","1955","48.5","24.6","531.0","YAREMCHA, UP","       170","I","       117","I","        14","I","","","","","","","","","","","","","  89.1"," ,I,0810, ","","","","","","","","","","","","","","","","","","","","","","","   1361.5"," ,I","","","","","",""
"UPM00033645","1956","48.5","24.6","531.0","YAREMCHA, UP","       150","I","        66","I","         5","I","","","","","","","","","","","","","  52.2"," ,I,0614, ","","","","","","","","","","","","","","","","","","","","","","","    714.0"," ,I","","","","","",""
