"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10buff006","2005","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        88","N","        42","N","         7","N","        7","","         7","N","   102"," ,N,1129,+","    76"," ,N,1203,+"," 142.2"," ,N,0512, ","    633.4"," ,N","      373"," ,N"
"US10buff006","2006","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        83","N","        45","N","         6","N","","","","","","","","","  69.1"," ,N,0910, ","    659.3"," ,N","",""
"US10buff006","2007","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        96","N","        56","N","        11","N","","","","","","","","","  38.6"," ,N,0822, ","    726.4"," ,N","",""
"US10buff006","2008","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","       108","N","        57","N","        13","N","","","","","","","",""," 135.6"," ,N,0524, ","   1005.8"," ,N","",""
"US10buff006","2009","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","       118","N","        51","N","         5","N","","","","","","","","","  35.6"," ,N,0815, ","    644.0"," ,N","",""
"US10buff006","2010","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        87","N","        53","N","         9","N","","","","","","","","","  47.8"," ,N,0613, ","    764.9"," ,N","",""
"US10buff006","2011","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","       110","N","        53","N","         6","N","","","","","","","","","  49.8"," ,N,0415, ","    645.5"," ,N","",""
"US10buff006","2012","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        52","N","        23","N","         2","N","","","","","","","","","  35.3"," ,N,0524, ","    258.0"," ,N","",""
"US10buff006","2013","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        80","N","        39","N","         5","N","","","","","","","","","  52.6"," ,N,1015,+","    569.2"," ,N","",""
"US10buff006","2014","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        87","N","        51","N","         6","N","","","","","","","","","  68.1"," ,N,0809, ","    692.7"," ,N","",""
"US10buff006","2018","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","       104","N","        63","N","         7","N","","","","","","","","","  85.1"," ,N,0705, ","    861.2"," ,N","",""
"US10buff006","2019","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","       100","N","        57","N","         7","N","","","","","","","","","  88.9"," ,N,0709, ","    905.7"," ,N","",""
"US10buff006","2020","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        92","N","        40","N","         4","N","","","","","","","","","  50.0"," ,N,0522, ","    446.1"," ,N","",""
"US10buff006","2021","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        66","N","        45","N","         6","N","","","","","","","","","  83.8"," ,N,0314, ","    694.6"," ,N","",""
"US10buff006","2022","40.9223","-99.3868","726.9","MILLER 0.5 SE, NE US","        59","N","        30","N","         4","N","","","","","","","","","  34.0"," ,N,0704, ","    403.8"," ,N","",""
