"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10cass001","2009","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","       118","N","        62","N","         5","N","        11","N","   279"," ,N,1209, ","  41.9"," ,N,0427, ","    753.2"," ,N","     1157"," ,N"
"US10cass001","2010","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","       110","N","        66","N","        10","N","        12","N","   114"," ,N,0107, ","  57.7"," ,N,0430, ","    858.2"," ,N","      810"," ,N"
"US10cass001","2011","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","       118","N","        59","N","         8","N","        14","N","   203"," ,N,0123, ","  51.1"," ,N,0512, ","    846.4"," ,N","     1252"," ,N"
"US10cass001","2012","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","        76","N","        41","N","         5","N","         5","N","   178"," ,N,0205, ","  52.3"," ,N,0415, ","    600.5"," ,N","      611"," ,N"
"US10cass001","2013","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","        99","N","        53","N","         7","N","        10","N","   168"," ,N,0222, ","  53.8"," ,N,0502, ","    762.2"," ,N","      877"," ,N"
"US10cass001","2014","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","        97","N","        54","N","        11","N","         8","N","   140"," ,N,0205, ","  99.6"," ,N,1001, ","    979.7"," ,N","      545"," ,N"
"US10cass001","2018","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","       135","N","        77","N","        12","N","","","","","  72.4"," ,N,0902, ","   1101.1"," ,N","",""
"US10cass001","2019","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","       133","N","        70","N","        15","N","","","","","  51.8"," ,N,0524, ","   1046.4"," ,N","",""
"US10cass001","2020","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","        97","N","        58","N","         6","N","","","","","  70.6"," ,N,0807, ","    740.7"," ,N","",""
"US10cass001","2021","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","        87","N","        48","N","        14","N","","","","","  80.0"," ,N,0831, ","    877.1"," ,N","",""
"US10cass001","2022","40.9946","-95.8976","337.1","PLATTSMOUTH 1.4 SW, NE US","        89","N","        43","N","         7","N","","","","","  53.6"," ,N,0526, ","    585.9"," ,N","",""
