"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10daws002","2005","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        73","N","        37","N","         5","N","       42","","         4","N","   229"," ,N,1205,+","    76"," ,N,1203,+","  64.8"," ,N,0512, ","    532.6"," ,N","      331"," ,N"
"US10daws002","2006","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        71","N","        42","N","         3","N","       20","","         7","N","   381"," ,N,0322,+","   305"," ,N,0321, ","  48.3"," ,N,0910, ","    564.1"," ,N","      622"," ,N"
"US10daws002","2007","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        92","N","        59","N","        11","N","","","         9","N","","","   127"," ,N,0115, ","  50.8"," ,N,0613, ","    806.4"," ,N","      594"," ,N"
"US10daws002","2008","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        89","N","        58","N","        10","N","","","         7","N","","","    89"," ,N,0206, "," 111.8"," ,N,0524, ","    862.0"," ,N","      444"," ,N"
"US10daws002","2009","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","       114","N","        57","N","         4","N","","","        16","N","","","   152"," ,N,1209, ","  43.2"," ,N,1022, ","    633.7"," ,N","     1038"," ,N"
"US10daws002","2010","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        80","N","        51","N","         6","N","","","         9","N","","","   102"," ,N,1231, ","  34.5"," ,N,0613, ","    608.5"," ,N","      421"," ,N"
"US10daws002","2011","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        91","N","        53","N","         8","N","","","        15","N","","","   165"," ,N,0120, ","  50.8"," ,N,0415, ","    704.1"," ,N","     1006"," ,N"
"US10daws002","2012","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        49","N","        23","N","         3","N","","","","","","","","","  42.7"," ,N,0801, ","    286.8"," ,N","",""
"US10daws002","2013","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        68","N","        36","N","         6","N","","","         5","N","","","   178"," ,N,0221, ","  57.2"," ,N,0409, ","    541.1"," ,N","      511"," ,N"
"US10daws002","2014","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        85","N","        55","N","         7","N","","","        13","N","","","   127"," ,N,0414, ","  40.6"," ,N,0710, ","    662.7"," ,N","      839"," ,N"
"US10daws002","2015","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        83","N","        58","N","         4","N","","","        10","N","","","   102"," ,N,1226, ","  34.5"," ,N,1118, ","    608.2"," ,N","      636"," ,N"
"US10daws002","2016","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        74","N","        46","N","         8","N","","","","","","","","","  73.7"," ,N,0417, ","    683.9"," ,N","",""
"US10daws002","2018","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","       109","N","        61","N","         6","N","","","","","","","","","  78.7"," ,N,0620, ","    806.3"," ,N","",""
"US10daws002","2019","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        97","N","        60","N","         8","N","","","","","","","",""," 124.5"," ,N,0709, ","    948.4"," ,N","",""
"US10daws002","2020","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        77","N","        42","N","         4","N","","","","","","","","","  47.5"," ,N,0522, ","    427.7"," ,N","",""
"US10daws002","2021","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        57","N","        39","N","         5","N","","","","","","","","","  73.7"," ,N,0314, ","    526.4"," ,N","",""
"US10daws002","2022","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        62","N","        36","N","         2","N","","","","","","","","","  40.6"," ,N,0606, ","    375.1"," ,N","",""
"US10daws002","2023","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        83","N","        50","N","         6","N","","","","","","","","","  64.8"," ,N,1013, ","    567.1"," ,N","",""
"US10daws002","2024","40.78","-99.72","730.0","LEXINGTON 1.1 E, NE US","        63","N","        49","N","         6","N","","","","","","","","","  82.6"," ,N,0426, ","    709.6"," ,N","",""
