"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10fron011","2007","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        75","N","        52","N","         9","N","  69.3"," ,N,0709, ","    799.5"," ,N"
"US10fron011","2008","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        86","N","        52","N","         7","N"," 120.4"," ,N,0524, ","    845.6"," ,N"
"US10fron011","2009","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        88","N","        61","N","         8","N","  57.2"," ,N,0723, ","    783.7"," ,N"
"US10fron011","2010","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        69","N","        41","N","         7","N","  48.3"," ,N,0817, ","    631.5"," ,N"
"US10fron011","2011","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        61","N","        42","N","         6","N","  55.4"," ,N,0525, ","    624.7"," ,N"
"US10fron011","2012","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        38","N","        26","N","         3","N","  31.0"," ,N,0204, ","    298.8"," ,N"
"US10fron011","2013","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        47","N","        34","N","         3","N","  30.7"," ,N,0530,+","    370.9"," ,N"
"US10fron011","2014","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        67","N","        48","N","         3","N","  40.9"," ,N,0609, ","    580.6"," ,N"
"US10fron011","2021","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        43","N","        26","N","         4","N","  48.0"," ,N,0930, ","    435.1"," ,N"
"US10fron011","2022","40.57","-100.1177","787.9","EUSTIS 7.9 SW, NE US","        60","N","        34","N","         3","N","  42.7"," ,N,0704, ","    351.6"," ,N"
