"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10garf004","2005","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        90","N","        46","N","         8","N","","","        13","N","","","   114"," ,N,1128, ","  55.4"," ,N,0611, ","    697.9"," ,N","      783"," ,N"
"US10garf004","2006","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        67","N","        32","N","         5","N","       36","","        11","N","   559"," ,N,0321, ","   254"," ,N,0321, ","  59.2"," ,N,0808, ","    451.0"," ,N","     1123"," ,N"
"US10garf004","2007","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","       107","N","        63","N","        10","N","","","        14","N","","","   152"," ,N,0303, ","  72.9"," ,N,1018, ","    883.7"," ,N","     1136"," ,N"
"US10garf004","2008","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","       104","N","        53","N","         6","N","","","        17","N","","","   152"," ,N,0411, ","  53.6"," ,N,0524, ","    716.8"," ,N","     1172"," ,N"
"US10garf004","2009","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","       117","N","        60","N","         2","N","","","        22","N","","","   173"," ,N,0125, ","  38.6"," ,N,1030, ","    649.1"," ,N","     1652"," ,N"
"US10garf004","2010","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","       101","N","        53","N","        11","N","","","        10","N","","","    89"," ,N,1231,+","  83.3"," ,N,0612, ","    817.1"," ,N","      644"," ,N"
"US10garf004","2011","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        95","N","        50","N","        10","N","","","        18","N","","","   178"," ,N,0110, ","  67.3"," ,N,0621, ","    796.8"," ,N","     1212"," ,N"
"US10garf004","2012","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        55","N","        32","N","         2","N","","","         7","N","","","   127"," ,N,0204, ","  47.2"," ,N,0428, ","    336.6"," ,N","      496"," ,N"
"US10garf004","2013","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        87","N","        48","N","         9","N","","","        14","N","","","   102"," ,N,0222, ","  88.4"," ,N,0822, ","    667.4"," ,N","      838"," ,N"
"US10garf004","2014","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        75","N","        42","N","         6","N","","","        13","N","","","   102"," ,N,1227,+","  71.1"," ,N,0609, ","    599.4"," ,N","      818"," ,N"
"US10garf004","2018","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        98","N","        61","N","        11","N","","","","","","","","","  58.4"," ,N,0625, ","    928.8"," ,N","",""
"US10garf004","2019","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","       124","N","        74","N","         9","N","","","","","","","","","  51.6"," ,N,0812, ","    941.3"," ,N","",""
"US10garf004","2020","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        85","N","        44","N","         4","N","","","","","","","","","  70.4"," ,N,0720, ","    492.1"," ,N","",""
"US10garf004","2021","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        74","N","        40","N","         5","N","","","","","","","","","  46.2"," ,N,0315, ","    531.8"," ,N","",""
"US10garf004","2022","42.058","-98.9925","691.0","BURWELL 20.4 NNE, NE US","        73","N","        34","N","         4","N","","","","","","","","","  52.3"," ,N,0430, ","    423.3"," ,N","",""
