"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10haye004","2005","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        60","N","        40","N","         4","N","  42.2"," ,N,0321, ","    522.1"," ,N"
"US10haye004","2006","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        58","N","        41","N","         4","N","  40.1"," ,N,0922, ","    478.5"," ,N"
"US10haye004","2007","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        66","N","        44","N","         6","N","  51.3"," ,N,0329, ","    552.8"," ,N"
"US10haye004","2008","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        71","N","        45","N","         7","N","  55.9"," ,N,1012, ","    605.5"," ,N"
"US10haye004","2009","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        98","N","        61","N","         7","N","  59.9"," ,N,0717, ","    783.4"," ,N"
"US10haye004","2010","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        68","N","        47","N","         8","N","  59.2"," ,N,0817, ","    649.5"," ,N"
"US10haye004","2011","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        74","N","        47","N","         8","N","  74.9"," ,N,0415, ","    694.7"," ,N"
"US10haye004","2012","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        48","N","        35","N","         1","N","  54.4"," ,N,0708, ","    331.2"," ,N"
"US10haye004","2013","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        72","N","        43","N","         4","N","  46.5"," ,N,0806, ","    516.0"," ,N"
"US10haye004","2014","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        72","N","        43","N","         4","N","  41.4"," ,N,0523, ","    554.4"," ,N"
"US10haye004","2018","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        68","N","        43","N","         4","N","  67.8"," ,N,0729, ","    568.8"," ,N"
"US10haye004","2019","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        75","N","        50","N","         6","N","  50.8"," ,N,0814, ","    607.1"," ,N"
"US10haye004","2020","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        57","N","        35","N","         3","N","  37.8"," ,N,0516, ","    375.3"," ,N"
"US10haye004","2021","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        46","N","        34","N","         3","N","  44.7"," ,N,0314, ","    358.4"," ,N"
"US10haye004","2022","40.3999","-101.2766","926.9","WAUNETA 5.1 E, NE US","        47","N","        29","N","         1","N","  31.8"," ,N,0502, ","    252.7"," ,N"
