"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10keit015","2009","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","       111","N","        65","N","         3","N","        14","N","   305"," ,N,1009, ","  38.6"," ,N,0717, ","    627.5"," ,N","     1182"," ,N"
"US10keit015","2011","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        89","N","        46","N","         3","N","         8","N","   254"," ,N,0414, ","  42.4"," ,N,0519, ","    516.5"," ,N","      827"," ,N"
"US10keit015","2012","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        49","N","        21","N","         1","N","        10","N","   102"," ,N,0203, ","  39.1"," ,N,0412, ","    192.0"," ,N","      482"," ,N"
"US10keit015","2013","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        70","N","        44","N","         4","N","        14","N","   305"," ,N,0309, ","  57.9"," ,N,0519, ","    510.5"," ,N","     1094"," ,N"
"US10keit015","2014","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        72","N","        43","N","         4","N","        12","N","   102"," ,N,0222, ","  57.9"," ,N,0627, ","    469.8"," ,N","      711"," ,N"
"US10keit015","2018","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        94","N","        55","N","         3","N","","","","","  42.7"," ,N,0718, ","    570.6"," ,N","",""
"US10keit015","2019","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        97","N","        56","N","         4","N","","","","","  53.8"," ,N,0527, ","    577.7"," ,N","",""
"US10keit015","2020","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        63","N","        27","N","         1","N","","","","","  37.8"," ,N,0725, ","    291.6"," ,N","",""
"US10keit015","2021","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        60","N","        36","N","         4","N","","","","","  95.0"," ,N,0819, ","    517.4"," ,N","",""
"US10keit015","2022","41.136061","-101.719003",,"OGALLALA 0.6 N, NE US","        52","N","        23","N","         1","N","","","","","  29.7"," ,N,0503, ","    195.0"," ,N","",""
