"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1AZMR0218","2010","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        40","N","        25","N","         1","N","","","","","  29.0"," ,N,0120, ","    278.6"," ,N","",""
"US1AZMR0218","2011","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        33","N","        17","N","         2","N","         0","N","     0"," ,N,1231,+","  33.3"," ,N,0710, ","    198.6"," ,N","        0"," ,N"
"US1AZMR0218","2012","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        33","N","        21","N","         1","N","","","","","  33.5"," ,N,0908, ","    217.5"," ,N","",""
"US1AZMR0218","2013","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        35","N","        19","N","         3","N","","","","","  32.5"," ,N,0721, ","    261.6"," ,N","",""
"US1AZMR0218","2014","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        26","N","        15","N","         4","N","","","","","  67.1"," ,N,0928, ","    271.4"," ,N","",""
"US1AZMR0218","2015","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        52","N","        22","N","         1","N","","","","","  27.7"," ,N,0901, ","    191.6"," ,N","",""
"US1AZMR0218","2016","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        40","N","        22","N","         0","N","","","","","  17.3"," ,N,0803, ","    171.9"," ,N","",""
"US1AZMR0218","2017","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        35","N","        15","N","         0","N","","","","","  17.0"," ,N,0121, ","    149.8"," ,N","",""
"US1AZMR0218","2018","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        27","N","        18","N","         0","N","","","","","  25.1"," ,N,0810, ","    165.1"," ,N","",""
"US1AZMR0218","2019","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        39","N","        28","N","         2","N","","","","","  60.7"," ,N,0222, ","    320.2"," ,N","",""
"US1AZMR0218","2020","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        21","N","        12","N","         0","N","","","","","  15.0"," ,N,0223, ","     99.0"," ,N","",""
"US1AZMR0218","2021","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        39","N","        25","N","         1","N","","","","","  27.9"," ,N,1225, ","    247.3"," ,N","",""
"US1AZMR0218","2022","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        49","N","        19","N","         2","N","","","","","  35.3"," ,N,1204, ","    212.1"," ,N","",""
"US1AZMR0218","2023","33.367131","-111.720364","395.3","GILBERT 3.6 ENE, AZ US","        39","N","        19","N","         1","N","","","","","  29.5"," ,N,1223, ","    204.3"," ,N","",""
