"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1AZMR0326","2012","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        27","N","        15","N","         1","N","  52.3"," ,N,0822, ","    152.2"," ,N"
"US1AZMR0326","2013","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        35","N","        13","N","         2","N","  40.9"," ,N,1122, ","    201.3"," ,N"
"US1AZMR0326","2014","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        27","N","        14","N","         4","N"," 103.9"," ,N,0908, ","    355.5"," ,N"
"US1AZMR0326","2015","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        49","N","        24","N","         1","N","  25.7"," ,N,0516, ","    213.8"," ,N"
"US1AZMR0326","2016","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        34","N","        16","N","         0","N","  18.3"," ,N,0411, ","    171.6"," ,N"
"US1AZMR0326","2017","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        29","N","        12","N","         1","N","  31.5"," ,N,0813, ","    151.5"," ,N"
"US1AZMR0326","2018","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        30","N","        13","N","         3","N","  51.6"," ,N,1014, ","    209.4"," ,N"
"US1AZMR0326","2019","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        47","N","        23","N","         0","N","  23.6"," ,N,0222, ","    179.9"," ,N"
"US1AZMR0326","2020","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        18","N","        12","N","         1","N","  26.2"," ,N,0312, ","    145.4"," ,N"
"US1AZMR0326","2021","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        44","N","        25","N","         3","N","  34.8"," ,N,0814, ","    276.5"," ,N"
"US1AZMR0326","2022","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        49","N","        18","N","         1","N","  25.9"," ,N,1016, ","    217.0"," ,N"
"US1AZMR0326","2023","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        24","N","        13","N","         0","N","  22.6"," ,N,0316, ","    115.9"," ,N"
"US1AZMR0326","2024","33.350355","-112.094526","399.6","PHOENIX 6.3 SSW, AZ US","        34","N","        14","N","         1","N","  25.4"," ,N,0401, ","    142.1"," ,N"
