"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1CAYL0021","2015","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        39","N","        18","N","         2","N","  54.1"," ,N,0207, ","    210.7"," ,N"
"US1CAYL0021","2016","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        77","N","        43","N","         4","N","  48.3"," ,N,0306, ","    513.4"," ,N"
"US1CAYL0021","2017","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        65","N","        43","N","        11","N","  56.4"," ,N,0108, ","    729.1"," ,N"
"US1CAYL0021","2018","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        56","N","        27","N","         2","N","  65.0"," ,N,0109, ","    398.9"," ,N"
"US1CAYL0021","2019","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        73","N","        47","N","        12","N","  86.4"," ,N,0214, ","    870.3"," ,N"
"US1CAYL0021","2020","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        40","N","        17","N","         0","N","  18.3"," ,N,0117, ","    140.3"," ,N"
"US1CAYL0021","2021","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        50","N","        25","N","         5","N","  90.7"," ,N,1025, ","    450.5"," ,N"
"US1CAYL0021","2022","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        38","N","        21","N","         3","N","  42.9"," ,N,0920, ","    277.9"," ,N"
"US1CAYL0021","2023","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        69","N","        47","N","         6","N","  48.0"," ,N,0109, ","    697.2"," ,N"
"US1CAYL0021","2024","38.5613","-121.852198","26.2","DAVIS 6.3 W, CA US","        68","N","        45","N","         6","N","  42.4"," ,N,1123,+","    536.4"," ,N"
