"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1COEP0226","2014","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","","","","","","","","","    427.5"," ,N"
"US1COEP0226","2015","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","       108","N","        52","N","         6","N","  70.1"," ,N,0509, ","    806.3"," ,N"
"US1COEP0226","2016","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","        73","N","        29","N","         4","N","  42.2"," ,N,0701, ","    415.0"," ,N"
"US1COEP0226","2017","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","","","","","","","","","    498.7"," ,N"
"US1COEP0226","2018","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","        67","N","        37","N","         2","N","  38.4"," ,N,0724, ","    381.9"," ,N"
"US1COEP0226","2019","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","","","","","","","","","    414.2"," ,N"
"US1COEP0226","2020","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","        64","N","        28","N","         0","N","  22.1"," ,N,0806, ","    299.6"," ,N"
"US1COEP0226","2021","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","        67","N","        31","N","         1","N","  37.1"," ,N,0801, ","    363.8"," ,N"
"US1COEP0226","2022","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","        71","N","        32","N","         1","N","  26.7"," ,N,0521, ","    283.0"," ,N"
"US1COEP0226","2023","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","        82","N","        41","N","         5","N","  50.8"," ,N,0511, ","    562.9"," ,N"
"US1COEP0226","2024","38.861787","-104.814272","1862.0","COLORADO SPRINGS 2.0 N, CO US","        82","N","        42","N","         2","N","  27.9"," ,N,0314, ","    377.0"," ,N"
