"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COKC0050","2003","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        65","N","        37","N","         2","N","        6","","         6","N","   157"," ,N,0102, ","   102"," ,N,0203,+","  34.3"," ,N,0319, ","    362.6"," ,N","      469"," ,N"
"US1COKC0050","2004","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        89","N","        44","N","         0","N","       18","","        16","N","   102"," ,N,0206, ","    89"," ,N,0301, ","  23.9"," ,N,0610, ","    423.7"," ,N","      825"," ,N"
"US1COKC0050","2005","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        68","N","        41","N","         6","N","","","        12","N","","","    51"," ,N,0313,+","  57.9"," ,N,1011, ","    493.2"," ,N","      472"," ,N"
"US1COKC0050","2006","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        75","N","        36","N","         4","N","","","         9","N","","","   305"," ,N,1221, ","  43.4"," ,N,0909, ","    465.7"," ,N","     1023"," ,N"
"US1COKC0050","2007","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        79","N","        47","N","         3","N","","","        19","N","","","   198"," ,N,1228, ","  51.6"," ,N,0425, ","    529.6"," ,N","     1438"," ,N"
"US1COKC0050","2008","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        72","N","        45","N","         3","N","","","        19","N","","","   152"," ,N,0417, ","  55.1"," ,N,0807, ","    549.1"," ,N","     1156"," ,N"
"US1COKC0050","2009","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","       108","N","        62","N","         6","N","","","","","","","","","  54.6"," ,N,1022, ","    771.9"," ,N","",""
"US1COKC0050","2010","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        72","N","        40","N","         3","N","","","","","","","","","  38.4"," ,N,0803, ","    400.4"," ,N","",""
"US1COKC0050","2011","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        92","N","        49","N","         4","N","","","","","","","","","  61.5"," ,N,0805, ","    541.0"," ,N","",""
"US1COKC0050","2012","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        65","N","        36","N","         1","N","","","","","","","","","  27.4"," ,N,0404, ","    341.8"," ,N","",""
"US1COKC0050","2013","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        73","N","        43","N","         6","N","","","","","","","","","  51.3"," ,N,0913, ","    526.6"," ,N","",""
"US1COKC0050","2014","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        91","N","        50","N","         6","N","","","","","","","","","  63.8"," ,N,0712, ","    587.7"," ,N","",""
"US1COKC0050","2015","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        98","N","        52","N","         5","N","","","","","","","","","  55.4"," ,N,0626, ","    723.4"," ,N","",""
"US1COKC0050","2016","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        61","N","        39","N","         5","N","","","","","","","","","  40.1"," ,N,0430, ","    525.3"," ,N","",""
"US1COKC0050","2017","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        77","N","        52","N","         3","N","","","","","","","","","  51.3"," ,N,0807, ","    574.9"," ,N","",""
"US1COKC0050","2018","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        79","N","        35","N","         3","N","","","","","","","","","  30.7"," ,N,0414, ","    388.2"," ,N","",""
"US1COKC0050","2019","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        87","N","        41","N","         2","N","","","","","","","","","  29.0"," ,N,0422, ","    408.2"," ,N","",""
"US1COKC0050","2020","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        58","N","        31","N","         0","N","","","","","","","","","  17.3"," ,N,0909, ","    256.5"," ,N","",""
"US1COKC0050","2021","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        54","N","        30","N","         4","N","","","","","","","","","  32.0"," ,N,0517, ","    368.4"," ,N","",""
"US1COKC0050","2022","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        68","N","        31","N","         4","N","","","","","","","","","  47.0"," ,N,0725, ","    431.0"," ,N","",""
"US1COKC0050","2023","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        84","N","        54","N","         3","N","","","","","","","","","  41.7"," ,N,0511, ","    534.3"," ,N","",""
"US1COKC0050","2024","39.4915","-102.8229","1382.0","LIBERTY 15 SW, CO US","        66","N","        41","N","         1","N","","","","","","","","","  32.0"," ,N,0808, ","    446.3"," ,N","",""
