"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COLR0311","2003","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        87","N","        33","N","         6","N","       37","","        14","N","   622"," ,N,0319, ","   622"," ,N,0319, ","  70.1"," ,N,0319, ","    487.8"," ,N","     1704"," ,N"
"US1COLR0311","2004","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        94","N","        50","N","         4","N","","","        11","N","","","   163"," ,N,1128, ","  33.5"," ,N,0928, ","    514.9"," ,N","      916"," ,N"
"US1COLR0311","2005","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        87","N","        36","N","         2","N","","","        11","N","","","   191"," ,N,0313, ","  33.5"," ,N,1010, ","    403.7"," ,N","      896"," ,N"
"US1COLR0311","2006","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        81","N","        29","N","         1","N","","","        10","N","","","   330"," ,N,1221, ","  57.2"," ,N,1221, ","    335.9"," ,N","     1274"," ,N"
"US1COLR0311","2007","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        95","N","        36","N","         1","N","","","        13","N","","","   132"," ,N,1211, ","  29.7"," ,N,1014, ","    304.3"," ,N","      956"," ,N"
"US1COLR0311","2008","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        82","N","        33","N","         1","N","","","         9","N","","","   142"," ,N,1204, ","  41.4"," ,N,0816, ","    329.3"," ,N","      666"," ,N"
"US1COLR0311","2009","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","       103","N","        46","N","         5","N","","","","","","","","","  85.3"," ,N,0721, ","    641.1"," ,N","",""
"US1COLR0311","2010","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        87","N","        33","N","         4","N","","","","","","","","","  35.6"," ,N,0512, ","    391.1"," ,N","",""
"US1COLR0311","2011","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        86","N","        41","N","         3","N","","","","","","","","","  42.9"," ,N,0519, ","    495.8"," ,N","",""
"US1COLR0311","2012","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        70","N","        23","N","         2","N","","","","","","","","","  35.6"," ,N,0707, ","    279.0"," ,N","",""
"US1COLR0311","2013","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        93","N","        42","N","         3","N","","","","","","","","","  57.7"," ,N,0912, ","    491.9"," ,N","",""
"US1COLR0311","2014","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","       114","N","        48","N","         2","N","","","","","","","","","  29.2"," ,N,0511, ","    470.7"," ,N","",""
"US1COLR0311","2015","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","       118","N","        54","N","         2","N","","","","","","","","","  47.8"," ,N,0417, ","    556.6"," ,N","",""
"US1COLR0311","2016","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        89","N","        31","N","         1","N","","","","","","","","","  25.4"," ,N,0323, ","    315.1"," ,N","",""
"US1COLR0311","2017","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        99","N","        40","N","         1","N","","","","","","","","","  66.0"," ,N,0519, ","    467.8"," ,N","",""
"US1COLR0311","2018","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        89","N","        36","N","         3","N","","","","","","","","","  51.8"," ,N,0523, ","    401.6"," ,N","",""
"US1COLR0311","2019","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","       110","N","        53","N","         1","N","","","","","","","","","  33.0"," ,N,1126, ","    448.4"," ,N","",""
"US1COLR0311","2020","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        88","N","        38","N","         1","N","","","","","","","","","  27.9"," ,N,0416, ","    339.3"," ,N","",""
"US1COLR0311","2021","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        75","N","        31","N","         2","N","","","","","","","","","  64.3"," ,N,0314, ","    377.2"," ,N","",""
"US1COLR0311","2022","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        83","N","        41","N","         1","N","","","","","","","","","  25.9"," ,N,0728, ","    338.2"," ,N","",""
"US1COLR0311","2023","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","       107","N","        49","N","         4","N","","","","","","","","","  36.1"," ,N,0512, ","    579.8"," ,N","",""
"US1COLR0311","2024","40.5999","-105.1175","1547.2","FCL 2.3 NW, CO US","        83","N","        33","N","         3","N","","","","","","","","","  34.3"," ,N,0204, ","    344.2"," ,N","",""
