"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1COLR0528","2006","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        65","N","        25","N","         2","N","  64.8"," ,N,1221, ","    340.6"," ,N"
"US1COLR0528","2007","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        87","N","        41","N","         2","N","  31.8"," ,N,0925, ","    370.2"," ,N"
"US1COLR0528","2008","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        76","N","        32","N","         2","N","  27.4"," ,N,0816, ","    300.3"," ,N"
"US1COLR0528","2009","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        96","N","        50","N","         2","N","  46.5"," ,N,0418, ","    512.4"," ,N"
"US1COLR0528","2010","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        80","N","        36","N","         4","N","  32.0"," ,N,0705, ","    388.3"," ,N"
"US1COLR0528","2011","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        88","N","        46","N","         2","N","  42.9"," ,N,0519, ","    457.5"," ,N"
"US1COLR0528","2012","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        62","N","        24","N","         1","N","  25.7"," ,N,0203, ","    231.1"," ,N"
"US1COLR0528","2013","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        90","N","        44","N","         5","N","  58.7"," ,N,0912, ","    521.4"," ,N"
"US1COLR0528","2014","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","       108","N","        44","N","         2","N","  75.9"," ,N,0524, ","    526.1"," ,N"
"US1COLR0528","2015","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","       106","N","        56","N","         3","N","  47.5"," ,N,0509, ","    555.8"," ,N"
"US1COLR0528","2016","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        77","N","        36","N","         1","N","  36.6"," ,N,0323, ","    322.7"," ,N"
"US1COLR0528","2017","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        98","N","        37","N","         1","N","  49.3"," ,N,0519, ","    391.7"," ,N"
"US1COLR0528","2018","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","        86","N","        42","N","         1","N","  28.7"," ,N,0503, ","    333.3"," ,N"
"US1COLR0528","2019","40.4326","-105.0923","1541.1","LOV 1.0 NNW, CO US","       103","N","        37","N","         1","N","  28.2"," ,N,0411, ","    372.2"," ,N"
