"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COLR0672","2006","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        85","N","        42","N","         0","N","        22","N","   241"," ,N,1221, ","  21.6"," ,N,1026, ","    352.3"," ,N","     2048"," ,N"
"US1COLR0672","2008","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        90","N","        31","N","         3","N","        17","N","   157"," ,N,1204, ","  40.9"," ,N,0523, ","    386.4"," ,N","     1179"," ,N"
"US1COLR0672","2009","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","       106","N","        52","N","         1","N","","","","","  41.7"," ,N,0417, ","    505.9"," ,N","",""
"US1COLR0672","2010","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        91","N","        33","N","         4","N","","","","","  46.5"," ,N,0705, ","    429.8"," ,N","",""
"US1COLR0672","2011","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        80","N","        43","N","         1","N","","","","","  47.8"," ,N,0519, ","    460.4"," ,N","",""
"US1COLR0672","2012","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        81","N","        32","N","         2","N","","","","","  29.5"," ,N,0707, ","    292.5"," ,N","",""
"US1COLR0672","2013","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        96","N","        44","N","         3","N","","","",""," 124.2"," ,N,0913, ","    562.5"," ,N","",""
"US1COLR0672","2014","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","       106","N","        47","N","         3","N","","","","","  44.2"," ,N,0511, ","    456.7"," ,N","",""
"US1COLR0672","2015","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","       108","N","        52","N","         3","N","","","","","  36.8"," ,N,0417, ","    515.6"," ,N","",""
"US1COLR0672","2016","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        92","N","        39","N","         1","N","","","","","  32.8"," ,N,0508, ","    367.7"," ,N","",""
"US1COLR0672","2017","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","       102","N","        48","N","         2","N","","","","","  51.8"," ,N,0519, ","    484.0"," ,N","",""
"US1COLR0672","2018","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        89","N","        41","N","         1","N","","","","","  30.7"," ,N,0503, ","    352.2"," ,N","",""
"US1COLR0672","2019","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","       104","N","        52","N","         0","N","","","","","  21.6"," ,N,0528, ","    439.5"," ,N","",""
"US1COLR0672","2020","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        84","N","        37","N","         1","N","","","","","  29.0"," ,N,0609, ","    318.7"," ,N","",""
"US1COLR0672","2023","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","       103","N","        52","N","         1","N","","","","","  30.7"," ,N,0630, ","    479.8"," ,N","",""
"US1COLR0672","2024","40.852106","-105.399793","2048.9","VIRGINIA DALE 7.2 SSW, CO US","        64","N","        27","N","         1","N","","","","","  26.2"," ,N,0204, ","    276.2"," ,N","",""
