"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COWE0176","2003","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        70","N","        29","N","         5","N","        9","","        11","N","   305"," ,N,0319, ","   216"," ,N,0319, ","  55.9"," ,N,0424, ","    412.2"," ,N","     1108"," ,N"
"US1COWE0176","2004","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        91","N","        36","N","         2","N","       28","","        10","N","   152"," ,N,1129, ","   152"," ,N,0205, ","  36.6"," ,N,0819, ","    385.5"," ,N","      813"," ,N"
"US1COWE0176","2005","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        72","N","        30","N","         3","N","","","        10","N","","","   152"," ,N,0313, ","  46.5"," ,N,0604, ","    356.8"," ,N","      907"," ,N"
"US1COWE0176","2006","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        67","N","        26","N","         1","N","","","        15","N","","","   559"," ,N,1221, ","  54.9"," ,N,1221, ","    303.4"," ,N","     1586"," ,N"
"US1COWE0176","2007","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        81","N","        35","N","         2","N","","","        15","N","","","   183"," ,N,1209, ","  37.8"," ,N,0803, ","    360.6"," ,N","     1280"," ,N"
"US1COWE0176","2008","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        74","N","        29","N","         4","N","","","        13","N","","","   117"," ,N,1214, ","  81.5"," ,N,0807, ","    432.8"," ,N","      901"," ,N"
"US1COWE0176","2009","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        90","N","        43","N","         4","N","","","","","","","","","  52.8"," ,N,0809, ","    560.2"," ,N","",""
"US1COWE0176","2010","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        74","N","        32","N","         2","N","","","","","","","","","  64.0"," ,N,0423, ","    422.3"," ,N","",""
"US1COWE0176","2011","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        78","N","        36","N","         4","N","","","","","","","","","  42.4"," ,N,0519, ","    380.7"," ,N","",""
"US1COWE0176","2012","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        55","N","        21","N","         0","N","","","","","","","","","  22.9"," ,N,0927, ","    231.8"," ,N","",""
"US1COWE0176","2013","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        82","N","        41","N","         3","N","","","","","","","","","  40.4"," ,N,0804, ","    451.1"," ,N","",""
"US1COWE0176","2014","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        93","N","        42","N","         4","N","","","","","","","","","  35.8"," ,N,0524, ","    477.9"," ,N","",""
"US1COWE0176","2015","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        99","N","        47","N","         3","N","","","","","","","","","  33.0"," ,N,0417, ","    493.0"," ,N","",""
"US1COWE0176","2016","40.3942","-104.7695","1499.9","GREELEY 3.8 W, CO US","        77","N","        36","N","         1","N","","","","","","","","","  26.2"," ,N,0417, ","    342.6"," ,N","",""
