"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1FLHL0001","2009","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","        96","N","        67","N","        14","N","  68.6"," ,N,0513, ","   1118.2"," ,N"
"US1FLHL0001","2010","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       110","N","        70","N","        17","N"," 127.0"," ,N,0518, ","   1306.2"," ,N"
"US1FLHL0001","2013","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       117","N","        86","N","        14","N","  58.4"," ,N,0810, ","   1212.5"," ,N"
"US1FLHL0001","2015","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       130","N","       100","N","        18","N"," 162.1"," ,N,0413, ","   1693.7"," ,N"
"US1FLHL0001","2016","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       120","N","        86","N","        21","N"," 104.1"," ,N,0518, ","   1642.2"," ,N"
"US1FLHL0001","2018","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       118","N","        79","N","        11","N","  64.8"," ,N,0729, ","   1110.6"," ,N"
"US1FLHL0001","2019","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       123","N","        82","N","        16","N","  77.2"," ,N,0614, ","   1379.2"," ,N"
"US1FLHL0001","2020","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       121","N","        93","N","        13","N","  94.2"," ,N,1026, ","   1534.1"," ,N"
"US1FLHL0001","2021","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       101","N","        74","N","        17","N","  89.2"," ,N,0915, ","   1235.3"," ,N"
"US1FLHL0001","2022","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       105","N","        71","N","        16","N","  66.0"," ,N,0928, ","   1268.5"," ,N"
"US1FLHL0001","2023","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       102","N","        69","N","        18","N","  68.3"," ,N,0921, ","   1193.7"," ,N"
"US1FLHL0001","2024","27.342366","-81.42898","29.6","LAKE PLACID 4.8 NW, FL US","       107","N","        71","N","        12","N"," 146.8"," ,N,0729, ","   1286.1"," ,N"
