"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1GAFT0019","2009","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       130","N","        90","N","        22","N"," 170.4"," ,N,0921, ","   1825.1"," ,N"
"US1GAFT0019","2010","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       105","N","        65","N","        13","N"," 105.4"," ,N,0503, ","   1159.3"," ,N"
"US1GAFT0019","2011","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       100","N","        67","N","        16","N","  78.2"," ,N,0923, ","   1178.4"," ,N"
"US1GAFT0019","2012","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       114","N","        63","N","         9","N","  75.2"," ,N,0303, ","   1003.6"," ,N"
"US1GAFT0019","2013","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       128","N","        89","N","        23","N"," 101.1"," ,N,0704, ","   1802.2"," ,N"
"US1GAFT0019","2014","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       124","N","        79","N","        18","N","  81.3"," ,N,0407, ","   1333.0"," ,N"
"US1GAFT0019","2015","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       149","N","       111","N","        23","N","  64.8"," ,N,1102, ","   1775.6"," ,N"
"US1GAFT0019","2016","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","        91","N","        59","N","        12","N","  47.5"," ,N,1129, ","    955.4"," ,N"
"US1GAFT0019","2017","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       124","N","        82","N","        12","N"," 113.8"," ,N,0406, ","   1351.9"," ,N"
"US1GAFT0019","2018","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       153","N","       107","N","        25","N"," 137.7"," ,N,1011, ","   1970.6"," ,N"
"US1GAFT0019","2019","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       124","N","        87","N","        15","N","  87.6"," ,N,0609, ","   1401.6"," ,N"
"US1GAFT0019","2020","33.701367","-84.572244","264.6","EAST POINT 6.3 WNW, GA US","       134","N","        90","N","        27","N"," 105.7"," ,N,0917, ","   1933.2"," ,N"
