"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1IALN0007","2010","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       123","N","        78","N","        13","N","  75.2"," ,N,0901, ","   1121.2"," ,N"
"US1IALN0007","2012","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","        97","N","        48","N","         4","N","  49.5"," ,N,0320, ","    622.8"," ,N"
"US1IALN0007","2015","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       121","N","        66","N","        15","N","  76.7"," ,N,0612, ","   1143.1"," ,N"
"US1IALN0007","2016","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       116","N","        60","N","        11","N","  56.6"," ,N,0812, ","    933.1"," ,N"
"US1IALN0007","2017","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       113","N","        64","N","         6","N","  61.0"," ,N,0416, ","    847.9"," ,N"
"US1IALN0007","2018","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       132","N","        85","N","        19","N","  64.8"," ,N,0806, ","   1273.5"," ,N"
"US1IALN0007","2019","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       152","N","        88","N","         8","N","  82.8"," ,N,1002, ","   1061.9"," ,N"
"US1IALN0007","2020","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       110","N","        71","N","        10","N","  53.6"," ,N,0623, ","   1006.3"," ,N"
"US1IALN0007","2021","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       106","N","        55","N","         6","N","  82.3"," ,N,0811, ","    780.1"," ,N"
"US1IALN0007","2022","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       110","N","        58","N","         8","N","  77.0"," ,N,0807, ","    849.2"," ,N"
"US1IALN0007","2023","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","        98","N","        52","N","         5","N","  37.6"," ,N,0625, ","    549.7"," ,N"
"US1IALN0007","2024","42.1983","-91.6543","287.1","CENTRAL CITY 6.7 W, IA US","       115","N","        72","N","        10","N","  60.5"," ,N,1031, ","   1062.9"," ,N"
