"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1IASR0019","2009","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","","","","","","","","","","","","","   1006.2"," ,N","",""
"US1IASR0019","2011","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       104","N","        54","N","         5","N","","","","","  48.3"," ,N,0610, ","    700.2"," ,N","",""
"US1IASR0019","2013","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","","","","","","","","","","","","","    830.6"," ,N","",""
"US1IASR0019","2014","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","","","","","","","","","","","","","   1118.8"," ,N","",""
"US1IASR0019","2015","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       118","N","        75","N","        10","N","","","",""," 106.7"," ,N,0809, ","   1173.4"," ,N","",""
"US1IASR0019","2016","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       107","N","        58","N","        13","N","","","","","  82.6"," ,N,0923, ","   1046.4"," ,N","",""
"US1IASR0019","2017","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       105","N","        66","N","         4","N","","","","","  72.1"," ,N,1007, ","    861.4"," ,N","",""
"US1IASR0019","2018","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       114","N","        79","N","        17","N","","","","","  61.2"," ,N,0705, ","   1236.4"," ,N","",""
"US1IASR0019","2019","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       141","N","        85","N","        10","N","","","","","  44.5"," ,N,0616,+","    981.0"," ,N","",""
"US1IASR0019","2020","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       102","N","        51","N","         8","N","","","","","  48.8"," ,N,0715, ","    708.6"," ,N","",""
"US1IASR0019","2021","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       101","N","        45","N","         6","N","","","","","  66.8"," ,N,1025, ","    688.5"," ,N","",""
"US1IASR0019","2023","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","        98","N","        55","N","        10","N","","","","","  65.3"," ,N,0618, ","    846.6"," ,N","",""
"US1IASR0019","2024","42.10789","-93.651113","302.1","GILBERT 0.2 W, IA US","       108","N","        65","N","         9","N","         8","N","   229"," ,N,0109, ","  46.2"," ,N,1031, ","    936.4"," ,N","      762"," ,N"
