"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1IAWR0007","2008","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       126","N","        76","N","        15","N","        16","N","   279"," ,N,0206, "," 117.1"," ,N,0708, ","   1405.4"," ,N","     1239"," ,N"
"US1IAWR0007","2009","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       108","N","        75","N","        13","N","","","","","  69.3"," ,N,0827, ","   1123.9"," ,N","",""
"US1IAWR0007","2011","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       107","N","        67","N","         9","N","","","","","  96.3"," ,N,0610, ","   1064.4"," ,N","",""
"US1IAWR0007","2012","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","        88","N","        47","N","         6","N","","","","","  47.2"," ,N,0415, ","    626.9"," ,N","",""
"US1IAWR0007","2013","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       112","N","        68","N","         7","N","","","","","  86.4"," ,N,0418, ","    920.3"," ,N","",""
"US1IAWR0007","2014","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       120","N","        72","N","        15","N","","","",""," 129.0"," ,N,0910, ","   1172.3"," ,N","",""
"US1IAWR0007","2015","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       116","N","        75","N","        12","N","","","",""," 134.6"," ,N,0625, ","   1293.5"," ,N","",""
"US1IAWR0007","2016","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       116","N","        66","N","        11","N","","","","","  82.6"," ,N,0720, ","   1052.3"," ,N","",""
"US1IAWR0007","2017","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       106","N","        58","N","         6","N","","","","","  54.9"," ,N,0416, ","    772.5"," ,N","",""
"US1IAWR0007","2018","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       119","N","        79","N","        12","N","","","","","  62.7"," ,N,0903, ","   1152.3"," ,N","",""
"US1IAWR0007","2019","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       129","N","        74","N","        14","N","","","","","  79.5"," ,N,1002, ","   1181.3"," ,N","",""
"US1IAWR0007","2020","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","        99","N","        60","N","         9","N","","","","","  73.7"," ,N,0715, ","    871.3"," ,N","",""
"US1IAWR0007","2021","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","        86","N","        52","N","        11","N","","","","","  63.5"," ,N,1025, ","    822.3"," ,N","",""
"US1IAWR0007","2022","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","        97","N","        53","N","         6","N","","","","","  97.3"," ,N,1105, ","    728.1"," ,N","",""
"US1IAWR0007","2023","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","        90","N","        58","N","         5","N","","","","","  53.3"," ,N,0601, ","    688.6"," ,N","",""
"US1IAWR0007","2024","41.350468","-93.572889","288.0","INDIANOLA 0.8 SSW, IA US","       108","N","        69","N","        11","N","","","","","  89.2"," ,N,0729, ","   1162.7"," ,N","",""
