"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILCK0121","2009","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       160","N","        94","N","         6","N","","","        19","N","","","   119"," ,N,0110, ","  57.4"," ,N,0619, ","   1106.4"," ,N","     1294"," ,N"
"US1ILCK0121","2010","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       138","N","        76","N","         4","N","","","","","","","",""," 102.9"," ,N,0724, ","    889.8"," ,N","",""
"US1ILCK0121","2011","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       145","N","        76","N","         6","N","","","","","","","",""," 139.7"," ,N,0723, ","   1112.9"," ,N","",""
"US1ILCK0121","2012","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       118","N","        55","N","         3","N","","","         4","N","","","   150"," ,N,0224, ","  37.8"," ,N,0415, ","    624.9"," ,N","      536"," ,N"
"US1ILCK0121","2013","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       150","N","        78","N","         4","N","       73","","         9","N","   343"," ,N,0306, ","   218"," ,N,0306, "," 121.9"," ,N,0626, ","   1056.8"," ,N","     1117"," ,N"
"US1ILCK0121","2014","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       141","N","        75","N","         7","N","       80","","        16","N","   483"," ,N,0218, ","   229"," ,N,0102, ","  48.8"," ,N,0822, ","    921.4"," ,N","     1614"," ,N"
"US1ILCK0121","2015","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       130","N","        84","N","         7","N","","","        13","N","","","   249"," ,N,0202, ","  48.5"," ,N,1229, ","   1016.5"," ,N","     1216"," ,N"
"US1ILCK0121","2018","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       127","N","        81","N","        15","N","","","         9","N","","","   157"," ,N,1126, ","  66.0"," ,N,0503, ","   1176.8"," ,N","      825"," ,N"
"US1ILCK0121","2019","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       155","N","        93","N","        10","N","","","        14","N","","","   170"," ,N,0119, ","  58.7"," ,N,0721, ","   1247.0"," ,N","     1015"," ,N"
"US1ILCK0121","2020","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       116","N","        68","N","        14","N","","","         8","N","","","    76"," ,N,0323, ","  36.3"," ,N,0514, ","    925.6"," ,N","      511"," ,N"
"US1ILCK0121","2021","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       112","N","        59","N","         7","N","","","        11","N","","","   157"," ,N,0131, ","  43.7"," ,N,1025, ","    747.4"," ,N","      874"," ,N"
"US1ILCK0121","2022","42.113853","-88.017779","223.1","PALATINE 1.3 E, IL US","       113","N","        72","N","         6","N","","","         8","N","","","    76"," ,N,0102, ","  55.6"," ,N,0912, ","    877.8"," ,N","      504"," ,N"
