"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1ILDP0016","2009","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       147","N","        79","N","         8","N","  72.4"," ,N,0817, ","   1045.2"," ,N"
"US1ILDP0016","2010","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       128","N","        70","N","         9","N","  77.5"," ,N,0724, ","    890.0"," ,N"
"US1ILDP0016","2011","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       137","N","        76","N","        11","N","  72.6"," ,N,0725, ","   1093.0"," ,N"
"US1ILDP0016","2012","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       108","N","        57","N","         3","N","  64.5"," ,N,0827, ","    593.3"," ,N"
"US1ILDP0016","2013","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       139","N","        78","N","         8","N"," 144.5"," ,N,0418, ","   1033.0"," ,N"
"US1ILDP0016","2014","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       129","N","        70","N","         6","N","  55.4"," ,N,0701, ","    941.8"," ,N"
"US1ILDP0016","2016","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       130","N","        67","N","         9","N","  66.5"," ,N,0813, ","    923.0"," ,N"
"US1ILDP0016","2017","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       121","N","        69","N","        12","N"," 133.9"," ,N,1015, ","   1212.5"," ,N"
"US1ILDP0016","2018","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       128","N","        71","N","        11","N","  42.7"," ,N,0829, ","    978.2"," ,N"
"US1ILDP0016","2019","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       152","N","        89","N","         9","N","  64.0"," ,N,1027, ","   1265.9"," ,N"
"US1ILDP0016","2020","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       121","N","        67","N","         9","N","  58.4"," ,N,1022, ","    883.0"," ,N"
"US1ILDP0016","2021","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       122","N","        60","N","         6","N","  70.4"," ,N,1025, ","    732.2"," ,N"
"US1ILDP0016","2023","41.734554","-88.239063","217.0","AURORA 3.6 SE, IL US","       131","N","        77","N","         6","N","  38.6"," ,N,0815, ","    873.1"," ,N"
