"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1ILMD0010","2008","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","       130","N","        77","N","        22","N"," 108.0"," ,N,0914, ","   1574.4"," ,N"
"US1ILMD0010","2009","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","","","","","","","","","   1492.5"," ,N"
"US1ILMD0010","2010","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","       109","N","        69","N","         9","N","  85.6"," ,N,1125, ","   1171.5"," ,N"
"US1ILMD0010","2015","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","       110","N","        78","N","        16","N"," 112.0"," ,N,1227, ","   1388.0"," ,N"
"US1ILMD0010","2016","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","       124","N","        68","N","        13","N","  87.1"," ,N,0815, ","   1206.4"," ,N"
"US1ILMD0010","2019","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","       138","N","        81","N","        17","N"," 229.1"," ,N,0812, ","   1627.7"," ,N"
"US1ILMD0010","2020","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","       115","N","        76","N","        13","N","  96.3"," ,N,0809, ","   1251.7"," ,N"
"US1ILMD0010","2021","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","","","","","","","","","   1145.2"," ,N"
"US1ILMD0010","2022","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","       116","N","        71","N","        13","N"," 135.1"," ,N,0726, ","   1277.1"," ,N"
"US1ILMD0010","2024","38.724529","-90.106939","128.0","GRANITE CITY 1.4 ENE, IL US","","","","","","","","","   1547.1"," ,N"
