"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1INHR0012","2011","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","       144","N","        90","N","        17","N","  86.4"," ,N,0926, ","   1745.0"," ,N"
"US1INHR0012","2012","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","       120","N","        74","N","        16","N","  69.9"," ,N,0927, ","   1223.9"," ,N"
"US1INHR0012","2013","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","","","","","","","","","   1440.9"," ,N"
"US1INHR0012","2014","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","","","","","","","","","   1271.3"," ,N"
"US1INHR0012","2015","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","       128","N","        90","N","        17","N"," 120.7"," ,N,0403, ","   1712.9"," ,N"
"US1INHR0012","2016","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","       114","N","        71","N","         8","N","  90.2"," ,N,1218, ","   1222.6"," ,N"
"US1INHR0012","2017","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","       114","N","        72","N","        15","N","  77.7"," ,N,0902, ","   1217.7"," ,N"
"US1INHR0012","2019","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","","","","","","","","","   1459.0"," ,N"
"US1INHR0012","2020","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","       119","N","        86","N","        12","N","  65.0"," ,N,1020, ","   1377.6"," ,N"
"US1INHR0012","2022","38.14622402","-85.97657029","246.0","ELIZABETH 1.4 N, IN US","       106","N","        74","N","        12","N","  58.4"," ,N,0218, ","   1122.7"," ,N"
