"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1INJH0022","2013","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       146","N","        78","N","        12","N","  91.9"," ,N,1222, ","   1158.5"," ,N"
"US1INJH0022","2015","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       143","N","        87","N","        15","N"," 112.5"," ,N,0718, ","   1361.1"," ,N"
"US1INJH0022","2016","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       131","N","        84","N","        10","N","  50.5"," ,N,0718, ","   1088.5"," ,N"
"US1INJH0022","2017","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       142","N","        82","N","        14","N"," 137.4"," ,N,0712, ","   1353.8"," ,N"
"US1INJH0022","2018","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       156","N","        86","N","        14","N","  64.3"," ,N,0403, ","   1289.8"," ,N"
"US1INJH0022","2019","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       137","N","        89","N","        13","N","  74.2"," ,N,0616, ","   1294.6"," ,N"
"US1INJH0022","2020","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       148","N","        87","N","        10","N","  49.0"," ,N,0503, ","   1106.1"," ,N"
"US1INJH0022","2021","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       147","N","        93","N","        14","N","  81.8"," ,N,0619, ","   1303.3"," ,N"
"US1INJH0022","2022","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       130","N","        76","N","        10","N","  50.3"," ,N,0307, ","   1052.8"," ,N"
"US1INJH0022","2023","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       146","N","        75","N","         9","N","  69.6"," ,N,0304, ","    926.7"," ,N"
"US1INJH0022","2024","39.568196","-86.174935","235.9","GREENWOOD 4.6 SW, IN US","       146","N","        89","N","        13","N","  66.8"," ,N,0402, ","   1314.4"," ,N"
