"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1INKS0011","2014","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","       143","N","        74","N","         5","N","  53.1"," ,N,1124, ","    790.2"," ,N"
"US1INKS0011","2015","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","       135","N","        75","N","         8","N","  99.6"," ,N,0919, ","    994.5"," ,N"
"US1INKS0011","2017","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","","","","","","","","","   1119.0"," ,N"
"US1INKS0011","2018","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","       147","N","        77","N","         7","N","  73.9"," ,N,0221, ","   1052.4"," ,N"
"US1INKS0011","2019","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","       137","N","        72","N","         4","N","  58.4"," ,N,0928, ","    929.6"," ,N"
"US1INKS0011","2020","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","","","","","","","","","    784.2"," ,N"
"US1INKS0011","2021","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","       137","N","        81","N","        14","N","  54.6"," ,N,1025, ","   1235.3"," ,N"
"US1INKS0011","2022","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","       121","N","        68","N","         7","N","  51.8"," ,N,0830, ","    947.9"," ,N"
"US1INKS0011","2023","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","       130","N","        65","N","         7","N","  65.8"," ,N,0223, ","    828.3"," ,N"
"US1INKS0011","2024","41.329885","-85.850718","260.0","LEESBURG 0.1 WNW, IN US","       127","N","        75","N","         7","N","  72.1"," ,N,0710, ","   1040.8"," ,N"
