"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1INPY0006","2012","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       112","N","        65","N","         9","N","  69.1"," ,N,0926, ","    883.6"," ,N"
"US1INPY0006","2013","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       142","N","        73","N","        17","N"," 143.3"," ,N,1006, ","   1373.0"," ,N"
"US1INPY0006","2014","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       138","N","        79","N","        10","N","  73.4"," ,N,0404, ","   1171.8"," ,N"
"US1INPY0006","2016","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       125","N","        87","N","        11","N","  76.7"," ,N,0704, ","   1308.2"," ,N"
"US1INPY0006","2017","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       128","N","        81","N","        13","N","  88.4"," ,N,0723, ","   1239.4"," ,N"
"US1INPY0006","2019","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       135","N","        91","N","        20","N","  69.9"," ,N,0420, ","   1586.9"," ,N"
"US1INPY0006","2020","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       136","N","        93","N","        18","N","  83.3"," ,N,1020, ","   1618.5"," ,N"
"US1INPY0006","2021","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       134","N","        86","N","        14","N","  61.7"," ,N,0711, ","   1309.8"," ,N"
"US1INPY0006","2023","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       113","N","        71","N","        17","N","  73.2"," ,N,0325, ","   1281.8"," ,N"
"US1INPY0006","2024","38.091727","-86.555621","231.3","LEOPOLD 1.7 ESE, IN US","       122","N","        84","N","        16","N","  53.6"," ,N,0802, ","   1340.7"," ,N"
