"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1INRP0004","2010","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       134","N","        83","N","        11","N","  49.5"," ,N,0718, ","   1031.6"," ,N"
"US1INRP0004","2011","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       149","N","        99","N","        20","N","  61.2"," ,N,0222, ","   1667.5"," ,N"
"US1INRP0004","2012","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       120","N","        69","N","         8","N","  56.6"," ,N,0908, ","    963.4"," ,N"
"US1INRP0004","2013","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       157","N","        82","N","        10","N","  74.4"," ,N,0809, ","   1179.0"," ,N"
"US1INRP0004","2014","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       149","N","        81","N","        11","N","  54.1"," ,N,0404, ","   1092.0"," ,N"
"US1INRP0004","2015","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       146","N","        81","N","        14","N","  66.8"," ,N,1028, ","   1241.6"," ,N"
"US1INRP0004","2016","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       147","N","        95","N","        17","N","  82.6"," ,N,0909, ","   1454.5"," ,N"
"US1INRP0004","2017","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       146","N","        86","N","        12","N","  68.1"," ,N,1106, ","   1277.7"," ,N"
"US1INRP0004","2018","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       168","N","        92","N","        11","N"," 103.1"," ,N,0909, ","   1498.4"," ,N"
"US1INRP0004","2019","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       144","N","        96","N","        17","N","  82.6"," ,N,0616, ","   1409.1"," ,N"
"US1INRP0004","2020","39.16916","-85.23612","290.2","OSGOOD 4.1 NE, IN US","       153","N","        91","N","        13","N","  61.0"," ,N,0819, ","   1296.2"," ,N"
