"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1NJGL0012","2013","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","        89","N","        72","N","        15","N","  84.6"," ,N,0608, ","   1196.8"," ,N"
"US1NJGL0012","2014","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","       102","N","        81","N","        10","N","  96.5"," ,N,0501, ","   1224.2"," ,N"
"US1NJGL0012","2016","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","        93","N","        73","N","         9","N","  86.9"," ,N,0729, ","   1018.1"," ,N"
"US1NJGL0012","2017","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","        93","N","        71","N","         8","N","  66.3"," ,N,1030, ","    912.6"," ,N"
"US1NJGL0012","2018","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","       124","N","       100","N","        21","N"," 100.3"," ,N,1012, ","   1747.6"," ,N"
"US1NJGL0012","2019","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","       116","N","        86","N","         7","N","  43.2"," ,N,0808, ","   1136.0"," ,N"
"US1NJGL0012","2020","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","       122","N","        86","N","        16","N","  90.9"," ,N,0711, ","   1428.1"," ,N"
"US1NJGL0012","2021","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","       105","N","        69","N","        15","N","  62.0"," ,N,0702, ","   1070.1"," ,N"
"US1NJGL0012","2022","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","       110","N","        82","N","        14","N","  57.9"," ,N,0907, ","   1234.8"," ,N"
"US1NJGL0012","2023","39.773862","-75.092523","27.4","WASHINGTON TWP 2.1 NNW, NJ US","        96","N","        65","N","        11","N","  70.1"," ,N,1218, ","   1088.0"," ,N"
