"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMDA0041","2006","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        61","N","        29","N","         4","N","         0","N","     0"," ,N,1231,+","  52.1"," ,N,0904, ","    382.9"," ,N","        0"," ,N"
"US1NMDA0041","2007","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        58","N","        22","N","         1","N","         1","N","    43"," ,N,0119, ","  36.6"," ,N,0705, ","    234.4"," ,N","       43"," ,N"
"US1NMDA0041","2009","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        43","N","        19","N","         1","N","","","","","  28.4"," ,N,0523, ","    210.7"," ,N","",""
"US1NMDA0041","2010","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        43","N","        19","N","         4","N","","","","","  64.8"," ,N,0712, ","    285.0"," ,N","",""
"US1NMDA0041","2011","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        49","N","        25","N","         1","N","","","","","  27.2"," ,N,0714, ","    252.9"," ,N","",""
"US1NMDA0041","2012","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        38","N","        14","N","         1","N","","","","","  31.5"," ,N,0908, ","    120.5"," ,N","",""
"US1NMDA0041","2013","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        50","N","        19","N","         2","N","","","","","  51.1"," ,N,0727, ","    260.2"," ,N","",""
"US1NMDA0041","2014","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        45","N","        22","N","         1","N","","","","","  27.2"," ,N,0730, ","    195.4"," ,N","",""
"US1NMDA0041","2016","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        43","N","        21","N","         0","N","","","","","  21.3"," ,N,0519, ","    238.8"," ,N","",""
"US1NMDA0041","2017","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        45","N","        28","N","         1","N","","","","","  33.5"," ,N,0115, ","    225.8"," ,N","",""
"US1NMDA0041","2018","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        51","N","        27","N","         0","N","","","","","  23.6"," ,N,0217, ","    252.9"," ,N","",""
"US1NMDA0041","2019","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        52","N","        26","N","         2","N","","","","","  46.2"," ,N,1004, ","    287.3"," ,N","",""
"US1NMDA0041","2020","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        30","N","        14","N","         0","N","","","","","  18.5"," ,N,0910,+","    167.3"," ,N","",""
"US1NMDA0041","2021","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        42","N","        22","N","         1","N","","","","","  46.2"," ,N,0824, ","    199.3"," ,N","",""
"US1NMDA0041","2022","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        54","N","        32","N","         2","N","","","","","  53.6"," ,N,0821, ","    311.8"," ,N","",""
"US1NMDA0041","2023","32.6242","-107.0418","1250.9","HATCH 7.2 ESE, NM US","        39","N","        19","N","         0","N","","","","","  19.8"," ,N,0826, ","    151.8"," ,N","",""
