"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMGR0009","2008","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        52","N","        31","N","         2","N","         0","N","     0"," ,N,1231,+","  40.6"," ,N,0806, ","    424.2"," ,N","        0"," ,N"
"US1NMGR0009","2011","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        55","N","        30","N","         1","N","","","","","  44.5"," ,N,1213, ","    310.3"," ,N","",""
"US1NMGR0009","2015","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        93","N","        54","N","         1","N","","","","","  35.1"," ,N,0826, ","    439.3"," ,N","",""
"US1NMGR0009","2017","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        56","N","        28","N","         1","N","","","","","  52.6"," ,N,0115, ","    341.9"," ,N","",""
"US1NMGR0009","2018","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        57","N","        37","N","         5","N","","","","","  54.4"," ,N,0717, ","    526.0"," ,N","",""
"US1NMGR0009","2019","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        75","N","        47","N","         4","N","","","","","  52.6"," ,N,1128, ","    542.2"," ,N","",""
"US1NMGR0009","2020","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        42","N","        27","N","         2","N","","","","","  48.3"," ,N,0725, ","    297.4"," ,N","",""
"US1NMGR0009","2022","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        75","N","        47","N","         3","N","","","","","  39.1"," ,N,0627, ","    550.8"," ,N","",""
"US1NMGR0009","2023","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        50","N","        32","N","         5","N","","","","","  51.8"," ,N,0826, ","    355.7"," ,N","",""
"US1NMGR0009","2024","32.68542","-108.46703","1801.1","SILVER CITY 13.4 WSW, NM US","        56","N","        39","N","         2","N","","","","","  39.1"," ,N,0802, ","    401.3"," ,N","",""
