"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMOT0051","2010","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        52","N","        28","N","         0","N","","","","","  16.3"," ,N,1021, ","    256.8"," ,N","",""
"US1NMOT0051","2012","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        41","N","        16","N","         0","N","","","","","  17.3"," ,N,0914, ","    138.6"," ,N","",""
"US1NMOT0051","2015","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","","","","","","","","","","","","","    387.0"," ,N","",""
"US1NMOT0051","2016","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        56","N","        25","N","         0","N","","","","","  19.1"," ,N,0907, ","    235.8"," ,N","",""
"US1NMOT0051","2017","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        45","N","        28","N","         3","N","","","","","  35.8"," ,N,0413, ","    362.1"," ,N","",""
"US1NMOT0051","2018","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        57","N","        27","N","         5","N","","","","","  60.5"," ,N,0921, ","    405.9"," ,N","",""
"US1NMOT0051","2019","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        50","N","        20","N","         1","N","","","","","  25.9"," ,N,1128, ","    229.6"," ,N","",""
"US1NMOT0051","2020","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        38","N","        24","N","         0","N","","","","","  22.9"," ,N,0910, ","    212.7"," ,N","",""
"US1NMOT0051","2021","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        37","N","        22","N","         2","N","","","","","  33.8"," ,N,0814, ","    298.0"," ,N","",""
"US1NMOT0051","2022","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        47","N","        32","N","         1","N","","","","","  49.5"," ,N,0821, ","    310.7"," ,N","",""
"US1NMOT0051","2023","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        29","N","        17","N","         1","N","         0","N","     0"," ,N,1231,+","  35.6"," ,N,0824, ","    177.7"," ,N","        0"," ,N"
"US1NMOT0051","2024","33.076707","-106.001663","1393.9","TULAROSA 1.0 E, NM US","        36","N","        23","N","         1","N","","","","","  29.7"," ,N,0723, ","    230.5"," ,N","",""
