"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NVWH0079","2009","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        59","N","        32","N","         1","N","        21","N","   284"," ,N,1207, ","  35.8"," ,N,1014, ","    299.7"," ,N","     1952"," ,N"
"US1NVWH0079","2010","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        73","N","        34","N","         1","N","        20","N","   417"," ,N,0221, ","  28.4"," ,N,0221, ","    324.8"," ,N","     1663"," ,N"
"US1NVWH0079","2011","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        64","N","        28","N","         1","N","        13","N","   196"," ,N,0226, ","  27.2"," ,N,0606, ","    280.3"," ,N","     1497"," ,N"
"US1NVWH0079","2012","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        50","N","        25","N","         2","N","        10","N","   109"," ,N,1227, ","  34.0"," ,N,0121, ","    257.0"," ,N","      822"," ,N"
"US1NVWH0079","2013","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        36","N","        17","N","         1","N","         6","N","   104"," ,N,1204, ","  33.3"," ,N,0611, ","    164.5"," ,N","      392"," ,N"
"US1NVWH0079","2014","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        60","N","        26","N","         0","N","","","","","  21.6"," ,N,0805, ","    272.0"," ,N","",""
"US1NVWH0079","2015","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        67","N","        36","N","         1","N","","","","","  29.2"," ,N,0209, ","    365.0"," ,N","",""
"US1NVWH0079","2016","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        58","N","        36","N","         1","N","","","","","  34.0"," ,N,1017, ","    357.8"," ,N","",""
"US1NVWH0079","2017","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        74","N","        45","N","         5","N","","","","","  62.5"," ,N,0221, ","    602.8"," ,N","",""
"US1NVWH0079","2018","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        56","N","        32","N","         1","N","","","","","  36.1"," ,N,0316, ","    357.6"," ,N","",""
"US1NVWH0079","2019","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        76","N","        45","N","         5","N","","","","","  43.7"," ,N,0214, ","    537.2"," ,N","",""
"US1NVWH0079","2020","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        37","N","        19","N","         0","N","        11","N","   165"," ,N,1108, ","  16.3"," ,N,1108, ","    143.1"," ,N","      780"," ,N"
"US1NVWH0079","2021","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        57","N","        27","N","         3","N","","","","","  96.8"," ,N,1025, ","    407.9"," ,N","",""
"US1NVWH0079","2022","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        47","N","        23","N","         2","N","","","","","  54.9"," ,N,1211, ","    241.0"," ,N","",""
"US1NVWH0079","2023","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        86","N","        49","N","         3","N","","","","","  29.0"," ,N,0101, ","    479.3"," ,N","",""
"US1NVWH0079","2024","39.790278","-119.894694","1760.2","RENO 17.8 NNW, NV US","        57","N","        31","N","         0","N","","","","","  22.1"," ,N,0302, ","    285.3"," ,N","",""
