"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NYAB0021","2010","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       127","N","        64","N","        11","N","","","","","","","",""," 139.2"," ,N,1001, ","   1045.4"," ,N","",""
"US1NYAB0021","2011","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       151","N","        92","N","        19","N","","","","","","","","","  81.8"," ,N,0829, ","   1460.5"," ,N","",""
"US1NYAB0021","2012","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       131","N","        71","N","         6","N","","","","","","","","","  77.5"," ,N,0919, ","    910.2"," ,N","",""
"US1NYAB0021","2013","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       133","N","        74","N","        10","N","","","","","","","","","  57.9"," ,N,0709, ","   1088.0"," ,N","",""
"US1NYAB0021","2015","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       123","N","        66","N","         5","N","","","","","","","","","  85.1"," ,N,0930, ","    843.2"," ,N","",""
"US1NYAB0021","2016","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       125","N","        62","N","         6","N","","","","","","","","","  56.6"," ,N,0802, ","    761.2"," ,N","",""
"US1NYAB0021","2017","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       149","N","        87","N","         4","N","","","","","","","","","  32.5"," ,N,1030,+","    923.9"," ,N","",""
"US1NYAB0021","2018","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       152","N","        90","N","         8","N","","","        14","N","","","   216"," ,N,0303, ","  66.3"," ,N,0918, ","   1101.2"," ,N","     1712"," ,N"
"US1NYAB0021","2019","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       160","N","        92","N","         8","N","","","        14","N","","","   320"," ,N,1202, ","  77.5"," ,N,1017, ","   1138.7"," ,N","     1602"," ,N"
"US1NYAB0021","2020","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       128","N","        78","N","         6","N","       30","","         9","N","   432"," ,N,1218,+","   483"," ,N,1217, ","  84.8"," ,N,0805, ","    903.5"," ,N","     1129"," ,N"
"US1NYAB0021","2021","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       142","N","        85","N","         9","N","","","         9","N","","","   241"," ,N,0202, ","  50.5"," ,N,0924, ","   1146.9"," ,N","      870"," ,N"
"US1NYAB0021","2022","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       133","N","        78","N","        12","N","","","        11","N","","","   165"," ,N,1212, ","  52.8"," ,N,0408, ","   1039.6"," ,N","     1079"," ,N"
"US1NYAB0021","2023","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       156","N","        88","N","        14","N","       35","","        11","N","   191"," ,N,0304, ","   180"," ,N,0304, ","  52.1"," ,N,1218, ","   1287.6"," ,N","     1012"," ,N"
"US1NYAB0021","2024","42.681196","-73.814236","79.2","NWS ALBANY, NY US","       141","N","        81","N","        10","N","       30","","        14","N","   165"," ,N,0108, ","   117"," ,N,0108, ","  71.1"," ,N,0810, ","   1145.8"," ,N","      896"," ,N"
