"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1NYER0075","2013","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","","","","","","","","","   1134.9"," ,N"
"US1NYER0075","2014","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       183","N","       107","N","         6","N","  51.6"," ,N,0708, ","   1104.7"," ,N"
"US1NYER0075","2016","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       170","N","        94","N","         7","N","  48.3"," ,N,0918, ","   1003.1"," ,N"
"US1NYER0075","2017","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       184","N","       117","N","        14","N","  56.1"," ,N,0714, ","   1470.2"," ,N"
"US1NYER0075","2018","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","","","","","","","","","   1265.7"," ,N"
"US1NYER0075","2019","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       195","N","       119","N","        13","N","  55.6"," ,N,1101, ","   1431.0"," ,N"
"US1NYER0075","2020","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       182","N","       116","N","         6","N","  61.5"," ,N,0717, ","   1222.3"," ,N"
"US1NYER0075","2021","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       169","N","        98","N","         7","N","  41.1"," ,N,0412, ","   1078.4"," ,N"
"US1NYER0075","2022","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       171","N","       102","N","        10","N","  58.7"," ,N,1112, ","   1262.2"," ,N"
"US1NYER0075","2023","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       162","N","       106","N","         7","N","  36.1"," ,N,0304, ","   1182.5"," ,N"
"US1NYER0075","2024","42.81935408","-78.62138546","265.8","ELMA CENTER 0.7 SE, NY US","       165","N","       107","N","        10","N","  58.7"," ,N,0630, ","   1369.1"," ,N"
