"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NYWN0006","2010","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","","","","","","","","","","","","","   1039.8"," ,N","",""
"US1NYWN0006","2012","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       145","N","        85","N","         5","N","","","","","  57.9"," ,N,0905, ","    955.1"," ,N","",""
"US1NYWN0006","2013","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       186","N","        89","N","         8","N","","","","","  63.0"," ,N,0719, ","   1081.3"," ,N","",""
"US1NYWN0006","2014","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       172","N","        94","N","         5","N","","","","","  51.3"," ,N,0516, ","    944.8"," ,N","",""
"US1NYWN0006","2015","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       156","N","        83","N","         7","N","","","",""," 120.7"," ,N,0811, ","   1021.6"," ,N","",""
"US1NYWN0006","2016","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       160","N","        80","N","         7","N","","","","","  51.6"," ,N,0918, ","    856.9"," ,N","",""
"US1NYWN0006","2017","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       170","N","        96","N","        12","N","","","","","  45.7"," ,N,1030, ","   1277.3"," ,N","",""
"US1NYWN0006","2018","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       180","N","        93","N","         3","N","","","","","  51.1"," ,N,0814, ","   1023.3"," ,N","",""
"US1NYWN0006","2019","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       174","N","        98","N","         5","N","","","","","  58.2"," ,N,0621, ","   1061.7"," ,N","",""
"US1NYWN0006","2020","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       172","N","        92","N","         4","N","        23","N","   160"," ,N,0208, ","  42.4"," ,N,0717, ","    769.8"," ,N","     1409"," ,N"
"US1NYWN0006","2021","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       168","N","        81","N","         6","N","        19","N","   203"," ,N,0203, ","  55.6"," ,N,1027, ","    953.9"," ,N","     1435"," ,N"
"US1NYWN0006","2022","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       169","N","        73","N","         6","N","        26","N","   165"," ,N,0204,+","  71.4"," ,N,1112, ","    805.4"," ,N","     1677"," ,N"
"US1NYWN0006","2023","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       172","N","        85","N","         5","N","        14","N","   102"," ,N,0315,+","  48.5"," ,N,0613, ","    933.1"," ,N","      902"," ,N"
"US1NYWN0006","2024","43.0795","-77.2526","151.8","PALMYRA 1.6 NW, NY US","       176","N","        86","N","         6","N","        17","N","   173"," ,N,0107, ","  43.2"," ,N,0907, ","    898.7"," ,N","     1414"," ,N"
