"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1OHCN0010","1999","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       131","N","        73","N","         1","N","  30.5"," ,N,0825, ","    698.6"," ,N"
"US1OHCN0010","2000","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       125","N","        79","N","        11","N","  90.2"," ,N,0104, ","   1140.1"," ,N"
"US1OHCN0010","2001","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       125","N","        80","N","         8","N","  49.0"," ,N,1024, ","   1020.9"," ,N"
"US1OHCN0010","2002","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       134","N","        84","N","        15","N","  83.8"," ,N,0819, ","   1398.7"," ,N"
"US1OHCN0010","2003","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","","","","","","","","","   1119.2"," ,N"
"US1OHCN0010","2004","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       148","N","        89","N","        13","N","  69.9"," ,N,0730, ","   1243.1"," ,N"
"US1OHCN0010","2005","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       149","N","        77","N","        11","N","  81.3"," ,N,0831, ","   1047.8"," ,N"
"US1OHCN0010","2006","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       149","N","        88","N","        13","N","  61.7"," ,N,0913, ","   1257.6"," ,N"
"US1OHCN0010","2007","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       143","N","        88","N","         8","N","  74.4"," ,N,1023, ","   1070.3"," ,N"
"US1OHCN0010","2008","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       145","N","        86","N","         9","N","  75.7"," ,N,0319, ","   1177.6"," ,N"
"US1OHCN0010","2009","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       144","N","        82","N","         5","N","  37.1"," ,N,0723, ","    927.2"," ,N"
"US1OHCN0010","2010","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       131","N","        82","N","         8","N","  75.2"," ,N,0628, ","   1001.5"," ,N"
"US1OHCN0010","2011","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       168","N","       108","N","        14","N","  58.7"," ,N,0611, ","   1463.7"," ,N"
"US1OHCN0010","2012","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       137","N","        76","N","         4","N","  48.8"," ,N,0502, ","    911.6"," ,N"
"US1OHCN0010","2013","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       156","N","        90","N","        13","N","  62.0"," ,N,0921, ","   1189.8"," ,N"
"US1OHCN0010","2014","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       146","N","        84","N","         9","N","  38.1"," ,N,0404, ","   1018.4"," ,N"
"US1OHCN0010","2015","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       143","N","        88","N","        10","N","  55.9"," ,N,0627, ","   1176.8"," ,N"
"US1OHCN0010","2016","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       139","N","        87","N","        10","N","  46.7"," ,N,1218, ","    996.5"," ,N"
"US1OHCN0010","2017","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       156","N","        94","N","        10","N","  78.7"," ,N,1106, ","   1286.3"," ,N"
"US1OHCN0010","2018","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       173","N","       101","N","        14","N","  67.8"," ,N,0721, ","   1475.3"," ,N"
"US1OHCN0010","2019","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       160","N","       104","N","        13","N","  76.2"," ,N,0616, ","   1414.3"," ,N"
"US1OHCN0010","2020","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       159","N","        96","N","         5","N","  44.2"," ,N,0320, ","   1010.0"," ,N"
"US1OHCN0010","2021","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       146","N","        85","N","         9","N","  68.6"," ,N,0619, ","   1114.1"," ,N"
"US1OHCN0010","2022","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       141","N","        79","N","        12","N","  56.9"," ,N,0218, ","   1060.9"," ,N"
"US1OHCN0010","2023","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       138","N","        87","N","         8","N","  48.3"," ,N,0304, ","   1049.0"," ,N"
"US1OHCN0010","2024","39.474519","-83.836053","323.7","WILMINGTON 2.2 N, OH US","       150","N","        93","N","         7","N","  36.3"," ,N,0704, ","   1018.9"," ,N"
