"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1OKJF0003","2013","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        71","N","        45","N","         9","N","  57.4"," ,N,0521, ","    749.4"," ,N"
"US1OKJF0003","2014","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        74","N","        33","N","         7","N"," 101.1"," ,N,1123, ","    712.5"," ,N"
"US1OKJF0003","2015","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        91","N","        67","N","        16","N"," 225.6"," ,N,0520, ","   1432.1"," ,N"
"US1OKJF0003","2016","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","","","","","","","","","    944.7"," ,N"
"US1OKJF0003","2017","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","","","","","","","","","    907.2"," ,N"
"US1OKJF0003","2018","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        77","N","        52","N","        12","N"," 116.6"," ,N,0922, ","   1035.4"," ,N"
"US1OKJF0003","2019","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        78","N","        50","N","        11","N","  56.4"," ,N,0414, ","    817.6"," ,N"
"US1OKJF0003","2020","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        85","N","        59","N","         9","N"," 148.6"," ,N,0621, ","    999.5"," ,N"
"US1OKJF0003","2021","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        80","N","        53","N","         9","N","  61.5"," ,N,0428, ","    834.1"," ,N"
"US1OKJF0003","2022","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        59","N","        36","N","         7","N","  78.2"," ,N,0821, ","    647.0"," ,N"
"US1OKJF0003","2023","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        79","N","        41","N","         8","N","  53.8"," ,N,1005, ","    659.4"," ,N"
"US1OKJF0003","2024","34.04879","-98.034439","288.6","RYAN 5.0 WNW, OK US","        72","N","        44","N","        12","N","  58.7"," ,N,0325, ","    885.5"," ,N"
