"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORBN0013","2009","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       186","N","       105","N","        11","N","","","         3","N","","","    58"," ,N,0226, ","  79.8"," ,N,0102, ","   1471.8"," ,N","      186"," ,N"
"US1ORBN0013","2010","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       227","N","       136","N","        20","N","","","         2","N","","","    51"," ,N,1123, ","  55.4"," ,N,1118, ","   1902.1"," ,N","      166"," ,N"
"US1ORBN0013","2011","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       192","N","       125","N","        16","N","","","         6","N","","","   163"," ,N,0224, ","  81.5"," ,N,1230, ","   1638.9"," ,N","      415"," ,N"
"US1ORBN0013","2012","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       213","N","       136","N","        28","N","","","         9","N","","","   163"," ,N,0322, "," 105.7"," ,N,0119, ","   2310.5"," ,N","      982"," ,N"
"US1ORBN0013","2013","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       185","N","        99","N","         6","N","","","","","","","","","  61.0"," ,N,0930, ","   1109.0"," ,N","",""
"US1ORBN0013","2014","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       189","N","       116","N","        15","N","","","","","","","",""," 103.6"," ,N,1221, ","   1820.8"," ,N","",""
"US1ORBN0013","2015","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       184","N","       101","N","        18","N","","","","","","","","","  78.5"," ,N,1218, ","   1582.0"," ,N","",""
"US1ORBN0013","2016","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       217","N","       128","N","        12","N","","","","","","","",""," 100.3"," ,N,1125, ","   1867.5"," ,N","",""
"US1ORBN0013","2017","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       205","N","       125","N","        16","N","","","","","","","",""," 101.9"," ,N,1022, ","   1993.8"," ,N","",""
"US1ORBN0013","2018","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       188","N","       105","N","         8","N","","","","","","","","","  73.4"," ,N,0408, ","   1263.2"," ,N","",""
"US1ORBN0013","2019","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       174","N","       108","N","         9","N","","","","","","","","","  53.6"," ,N,0407, ","   1329.0"," ,N","",""
"US1ORBN0013","2020","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       201","N","       127","N","        11","N","        3","","         2","N","    89"," ,N,0114, ","    89"," ,N,0114, ","  73.7"," ,N,1220, ","   1657.7"," ,N","      163"," ,N"
"US1ORBN0013","2021","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       204","N","       133","N","        11","N","        7","","         4","N","   312"," ,N,1227, ","   203"," ,N,1227, ","  65.3"," ,N,1220, ","   1676.5"," ,N","      425"," ,N"
"US1ORBN0013","2022","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       184","N","       114","N","        16","N","        4","","         2","N","   140"," ,N,0101, ","    46"," ,N,0413, ","  58.9"," ,N,0103, ","   1588.3"," ,N","      161"," ,N"
"US1ORBN0013","2023","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       179","N","       119","N","        11","N","       18","","         7","N","   348"," ,N,0223, ","    79"," ,N,0214, ","  50.8"," ,N,1203, ","   1505.4"," ,N","      506"," ,N"
"US1ORBN0013","2024","44.63833","-123.57722","263.0","BLODGETT 1 N, OR US","       209","N","       126","N","        21","N","","","","","","","","","  45.7"," ,N,0229, ","   1907.0"," ,N","",""
