"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1SCAN0004","2012","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","","","","","","","","","   1055.0"," ,N"
"US1SCAN0004","2013","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","       130","N","        96","N","        21","N","  88.4"," ,N,0603, ","   1762.7"," ,N"
"US1SCAN0004","2014","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","       116","N","        75","N","        16","N","  99.3"," ,N,0801, ","   1249.3"," ,N"
"US1SCAN0004","2015","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","       147","N","        92","N","        17","N","  73.7"," ,N,1004, ","   1532.0"," ,N"
"US1SCAN0004","2016","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","        91","N","        52","N","         7","N","  40.6"," ,N,0501, ","    749.7"," ,N"
"US1SCAN0004","2019","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","       116","N","        70","N","        13","N","  41.4"," ,N,1020, ","   1124.2"," ,N"
"US1SCAN0004","2020","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","       142","N","        88","N","        21","N","  90.7"," ,N,0207, ","   1779.0"," ,N"
"US1SCAN0004","2021","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","       112","N","        73","N","        13","N","  68.1"," ,N,1007, ","   1288.4"," ,N"
"US1SCAN0004","2022","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","       110","N","        69","N","        13","N","  54.6"," ,N,1130, ","   1241.8"," ,N"
"US1SCAN0004","2024","34.6086","-82.5741","250.5","WILLIAMSTON 5.4 W, SC US","        99","N","        60","N","        13","N","  92.7"," ,N,0110, ","   1407.8"," ,N"
