"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1SDML0003","2008","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        79","N","        40","N","         6","N","  52.3"," ,N,0605, ","    487.9"," ,N"
"US1SDML0003","2015","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        91","N","        52","N","         4","N","  49.8"," ,N,0510, ","    569.9"," ,N"
"US1SDML0003","2016","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        75","N","        41","N","         2","N","  52.6"," ,N,0416, ","    455.4"," ,N"
"US1SDML0003","2017","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        84","N","        43","N","         6","N","  35.1"," ,N,0816, ","    460.7"," ,N"
"US1SDML0003","2018","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        94","N","        49","N","         6","N"," 101.6"," ,N,0620, ","    668.0"," ,N"
"US1SDML0003","2019","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","       121","N","        73","N","         6","N","  45.7"," ,N,0522, ","    859.9"," ,N"
"US1SDML0003","2020","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        79","N","        41","N","         2","N","  50.0"," ,N,0730, ","    427.6"," ,N"
"US1SDML0003","2021","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        78","N","        43","N","         2","N","  77.5"," ,N,0902, ","    504.9"," ,N"
"US1SDML0003","2022","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        71","N","        34","N","         3","N","  40.6"," ,N,0815, ","    402.7"," ,N"
"US1SDML0003","2023","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        91","N","        55","N","         5","N","  48.8"," ,N,0813, ","    700.4"," ,N"
"US1SDML0003","2024","43.448433","-101.217484","784.6","NORRIS 2.0 SSW, SD US","        72","N","        41","N","         0","N","  17.5"," ,N,0426, ","    365.0"," ,N"
