"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TNLS0005","2014","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       115","N","        83","N","        19","N"," 181.6"," ,N,0605, ","   1591.0"," ,N"
"US1TNLS0005","2015","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       136","N","        91","N","        23","N","  62.0"," ,N,0525, ","   1579.2"," ,N"
"US1TNLS0005","2016","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       115","N","        81","N","        17","N","  83.6"," ,N,0203, ","   1233.3"," ,N"
"US1TNLS0005","2017","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       128","N","        82","N","        21","N"," 136.9"," ,N,0728, ","   1791.3"," ,N"
"US1TNLS0005","2018","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       146","N","        91","N","        23","N","  74.9"," ,N,0301, ","   1713.4"," ,N"
"US1TNLS0005","2019","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       132","N","        97","N","        24","N","  83.3"," ,N,1007, ","   1772.5"," ,N"
"US1TNLS0005","2020","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       152","N","       109","N","        24","N","  98.3"," ,N,0914, ","   1840.7"," ,N"
"US1TNLS0005","2021","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       136","N","        99","N","        21","N","  96.5"," ,N,0328, ","   1856.6"," ,N"
"US1TNLS0005","2022","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       118","N","        87","N","        25","N","  75.2"," ,N,0223, ","   1649.7"," ,N"
"US1TNLS0005","2023","35.55093","-87.553644","295.4","HOHENWALD 0.3 E, TN US","       113","N","        84","N","        17","N","  70.9"," ,N,0508, ","   1331.8"," ,N"
