"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXBXR048","2009","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","        59","N","        49","N","         9","N"," 166.1"," ,N,1004, ","    904.6"," ,N"
"US1TXBXR048","2011","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","        47","N","        29","N","         5","N","  74.7"," ,N,1009, ","    492.5"," ,N"
"US1TXBXR048","2012","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","        78","N","        36","N","        13","N","  98.0"," ,N,0914, ","    902.9"," ,N"
"US1TXBXR048","2013","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","        86","N","        42","N","         7","N"," 217.2"," ,N,0525, ","    936.7"," ,N"
"US1TXBXR048","2014","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","        89","N","        43","N","        10","N","  90.2"," ,N,1105, ","    736.7"," ,N"
"US1TXBXR048","2015","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","       116","N","        62","N","        18","N","  84.6"," ,N,1024, ","   1217.2"," ,N"
"US1TXBXR048","2016","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","        91","N","        50","N","        18","N","  84.8"," ,N,0418, ","   1344.8"," ,N"
"US1TXBXR048","2017","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","","","","","","","","","    731.8"," ,N"
"US1TXBXR048","2020","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","       104","N","        39","N","         5","N","  52.3"," ,N,0525, ","    606.6"," ,N"
"US1TXBXR048","2022","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","        65","N","        32","N","         5","N","  47.2"," ,N,0426, ","    443.5"," ,N"
"US1TXBXR048","2024","29.59027","-98.457922","269.1","HOLLYWOOD PARK 1.7 ESE, TX US","        87","N","        47","N","        11","N","  94.2"," ,N,0122, ","    770.6"," ,N"
