"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXDN0001","2008","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        86","N","        41","N","        12","N","  67.1"," ,N,0319, ","    777.3"," ,N"
"US1TXDN0001","2010","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        86","N","        47","N","         7","N"," 129.3"," ,N,0909, ","    911.5"," ,N"
"US1TXDN0001","2011","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        67","N","        37","N","         6","N","  81.8"," ,N,0502, ","    659.5"," ,N"
"US1TXDN0001","2012","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        74","N","        44","N","         9","N","  72.9"," ,N,0320, ","    721.7"," ,N"
"US1TXDN0001","2014","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        81","N","        41","N","        11","N"," 125.5"," ,N,0731, ","    764.3"," ,N"
"US1TXDN0001","2016","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        94","N","        68","N","        15","N","  77.2"," ,N,0418, ","   1196.3"," ,N"
"US1TXDN0001","2017","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        75","N","        43","N","        11","N"," 101.6"," ,N,0603, ","    903.2"," ,N"
"US1TXDN0001","2021","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","","","","","","","","","   1081.8"," ,N"
"US1TXDN0001","2022","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","","","","","","","","","    875.1"," ,N"
"US1TXDN0001","2023","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        69","N","        50","N","         9","N"," 133.1"," ,N,1026, ","    807.0"," ,N"
"US1TXDN0001","2024","33.219136","-97.05318","168.6","SHADY SHORES 3.9 N, TX US","        83","N","        57","N","        12","N","  79.5"," ,N,0409, ","   1033.1"," ,N"
