"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXED0012","2009","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","","","","","","","","","    371.3"," ,N"
"US1TXED0012","2010","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        58","N","        29","N","         4","N","  71.9"," ,N,0416, ","    484.1"," ,N"
"US1TXED0012","2011","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        41","N","        20","N","         2","N","  58.9"," ,N,1009, ","    248.1"," ,N"
"US1TXED0012","2012","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        50","N","        27","N","         5","N","  45.2"," ,N,0125, ","    419.0"," ,N"
"US1TXED0012","2013","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","","","","","","","","","    614.3"," ,N"
"US1TXED0012","2014","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        61","N","        30","N","         4","N","  59.4"," ,N,0818, ","    427.8"," ,N"
"US1TXED0012","2015","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        85","N","        44","N","         9","N","  57.9"," ,N,0513, ","    791.5"," ,N"
"US1TXED0012","2017","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        83","N","        35","N","         7","N","  45.2"," ,N,0402, ","    580.8"," ,N"
"US1TXED0012","2018","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        77","N","        43","N","        10","N","  71.1"," ,N,1009, ","    818.7"," ,N"
"US1TXED0012","2019","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        65","N","        30","N","         4","N","  73.9"," ,N,0604, ","    460.2"," ,N"
"US1TXED0012","2020","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        65","N","        35","N","         6","N","  71.4"," ,N,0910, ","    547.2"," ,N"
"US1TXED0012","2021","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        56","N","        33","N","         4","N","  64.3"," ,N,0622, ","    434.5"," ,N"
"US1TXED0012","2022","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        60","N","        23","N","         3","N","  48.3"," ,N,0830, ","    405.6"," ,N"
"US1TXED0012","2023","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        60","N","        34","N","         6","N","  61.0"," ,N,1026, ","    504.8"," ,N"
"US1TXED0012","2024","29.966556","-100.342389","709.0","ROCKSPRINGS 8.5 WSW, TX US","        58","N","        20","N","         3","N","  97.0"," ,N,0723, ","    359.9"," ,N"
