"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXHRR168","2014","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","       104","N","        63","N","        15","N","  73.2"," ,N,0528, ","   1126.7"," ,N"
"US1TXHRR168","2015","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","       113","N","        74","N","        27","N"," 169.7"," ,N,0526, ","   1974.8"," ,N"
"US1TXHRR168","2016","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","       119","N","        73","N","        18","N"," 110.5"," ,N,0419, ","   1520.7"," ,N"
"US1TXHRR168","2017","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","        93","N","        60","N","        21","N"," 444.0"," ,N,0827, ","   2247.0"," ,N"
"US1TXHRR168","2018","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","       119","N","        80","N","        18","N"," 108.0"," ,N,0705, ","   1453.7"," ,N"
"US1TXHRR168","2019","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","       105","N","        67","N","        18","N"," 192.5"," ,N,0918, ","   1595.5"," ,N"
"US1TXHRR168","2020","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","       111","N","        65","N","        19","N"," 260.6"," ,N,0922, ","   1582.3"," ,N"
"US1TXHRR168","2021","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","       116","N","        67","N","        15","N"," 164.6"," ,N,0914, ","   1338.1"," ,N"
"US1TXHRR168","2022","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","        92","N","        66","N","        12","N"," 102.6"," ,N,1125, ","   1079.3"," ,N"
"US1TXHRR168","2023","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","        97","N","        59","N","        10","N","  66.5"," ,N,0125, ","    872.9"," ,N"
"US1TXHRR168","2024","29.5761","-95.214","9.8","PEARLAND 4.0 ENE, TX US","       103","N","        66","N","        16","N","  79.0"," ,N,0709, ","   1330.9"," ,N"
