"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXJS0003","2008","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","       108","N","        72","N","        13","N"," 151.6"," ,N,0914, ","   1357.5"," ,N"
"US1TXJS0003","2009","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","       104","N","        76","N","        17","N","  92.2"," ,N,0708, ","   1474.8"," ,N"
"US1TXJS0003","2010","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","        83","N","        51","N","         8","N","  62.2"," ,N,0807, ","    817.9"," ,N"
"US1TXJS0003","2011","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","        70","N","        47","N","        13","N","  58.9"," ,N,0622, ","    830.4"," ,N"
"US1TXJS0003","2012","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","        85","N","        66","N","        22","N"," 111.8"," ,N,0321, ","   1392.0"," ,N"
"US1TXJS0003","2013","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","        88","N","        69","N","        19","N"," 135.6"," ,N,1001, ","   1580.7"," ,N"
"US1TXJS0003","2016","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","        99","N","        75","N","        26","N"," 228.9"," ,N,0310, ","   2045.1"," ,N"
"US1TXJS0003","2017","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","       101","N","        76","N","        23","N"," 176.3"," ,N,0830, ","   1996.6"," ,N"
"US1TXJS0003","2018","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","       109","N","        84","N","        25","N"," 176.5"," ,N,0329, ","   1950.8"," ,N"
"US1TXJS0003","2019","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","       111","N","        79","N","        24","N"," 127.8"," ,N,0919, ","   1900.7"," ,N"
"US1TXJS0003","2020","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","       101","N","        74","N","        21","N"," 112.3"," ,N,0801, ","   1657.9"," ,N"
"US1TXJS0003","2021","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","       118","N","        82","N","        18","N"," 110.5"," ,N,0622, ","   1553.0"," ,N"
"US1TXJS0003","2022","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","        83","N","        62","N","        16","N","  81.3"," ,N,0522, ","   1314.7"," ,N"
"US1TXJS0003","2023","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","        76","N","        55","N","        14","N","  97.8"," ,N,0125, ","   1047.5"," ,N"
"US1TXJS0003","2024","30.64054","-93.88509","36.0","KIRBYVILLE 1.5 SE, TX US","       108","N","        77","N","        25","N"," 274.6"," ,N,0410, ","   2091.0"," ,N"
